site,plot,event,year,doy,date,genus
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G02,lod,2012,Acer,rubrum,152
clarkharvard,G03,bbd,2010,Acer,rubrum,120
clarkharvard,G03,bbd,2010,Acer,rubrum,120
clarkharvard,G03,bbd,2010,Acer,rubrum,105
clarkharvard,G03,bbd,2010,Acer,rubrum,105
clarkharvard,G03,bbd,2010,Acer,rubrum,111
clarkharvard,G03,bbd,2011,Acer,rubrum,110
clarkharvard,G03,bbd,2011,Acer,rubrum,110
clarkharvard,G03,bbd,2011,Acer,rubrum,110
clarkharvard,G03,bbd,2011,Acer,rubrum,125
clarkharvard,G03,bbd,2012,Acer,rubrum,86
clarkharvard,G03,bbd,2012,Acer,rubrum,108
clarkharvard,G03,bbd,2012,Acer,rubrum,86
clarkharvard,G03,bbd,2012,Acer,rubrum,108
clarkharvard,G03,bbd,2012,Acer,rubrum,108
clarkharvard,G03,bbd,2012,Acer,rubrum,103
clarkharvard,G03,bbd,2012,Acer,rubrum,103
clarkharvard,G03,bbd,2012,Acer,rubrum,86
clarkharvard,G03,bbd,2012,Acer,rubrum,103
clarkharvard,G03,bbd,2012,Acer,rubrum,108
clarkharvard,G03,lud,2010,Acer,rubrum,105
clarkharvard,G03,lud,2010,Acer,rubrum,105
clarkharvard,G03,lud,2010,Acer,rubrum,137
clarkharvard,G03,lud,2010,Acer,rubrum,188
clarkharvard,G03,lud,2010,Acer,rubrum,111
clarkharvard,G03,lud,2010,Acer,rubrum,105
clarkharvard,G03,lud,2010,Acer,rubrum,111
clarkharvard,G03,lud,2010,Acer,rubrum,137
clarkharvard,G03,lud,2010,Acer,rubrum,120
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,214
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,146
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,164
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2011,Acer,rubrum,125
clarkharvard,G03,lud,2012,Acer,rubrum,108
clarkharvard,G03,lud,2012,Acer,rubrum,125
clarkharvard,G03,lud,2012,Acer,rubrum,103
clarkharvard,G03,lud,2012,Acer,rubrum,125
clarkharvard,G03,lud,2012,Acer,rubrum,103
clarkharvard,G03,lud,2012,Acer,rubrum,108
clarkharvard,G03,lud,2012,Acer,rubrum,108
clarkharvard,G03,lud,2012,Acer,rubrum,108
clarkharvard,G03,lud,2012,Acer,rubrum,108
clarkharvard,G03,lud,2012,Acer,rubrum,103
clarkharvard,G03,lud,2012,Acer,rubrum,108
clarkharvard,G03,lud,2012,Acer,rubrum,108
clarkharvard,G03,lud,2012,Acer,rubrum,108
