plot,block,hum,temp,date,30 cm,15 cm,,plot,block,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,040226,31.9,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,040226,28.3,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,040226,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,040226,28.8,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,040226,31.6,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,040226,31.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,040226,29.9,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,040226,27.8,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,040226,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,040226,29.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,040226,31.5,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,040226,28.5,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,040226,29.5,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,040226,28.6,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,040226,30.9,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,040226,27.8,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,040226,31.2,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,040226,32.1,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,040226,30.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,040226,31.6,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,040226,30.8,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,040226,31.9,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,040226,25.4,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,040226,31.5,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,040226,33,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,040226,30.3,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,040310,31.3,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,040310,31.9,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,040310,31.1,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,040310,29.6,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,040310,31.3,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,040310,26.4,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,040310,28.2,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,040310,27.7,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,040310,30.8,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,040310,31.5,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,040310,30.7,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,040310,26.5,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,040310,28.7,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,040310,29.5,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,040310,30.6,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,040310,27.6,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,040310,29.6,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,040310,28,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,040310,29.6,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,040310,26.7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,040310,32.2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,040310,31.7,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,040310,29.8,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,040310,31.6,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,040310,29.8,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,040310,30.7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,040310,29.2,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,040310,30,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,040310,32.2,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,040310,30.3,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
