"Accepted Symbol","Synonym Symbol","Scientific Name"
"ALBR2","","Allium brevistylum"
"ALBU2","","Allium burdickii"
"ALBU","","Allium burlewii"
"ALCA2","","Allium campanulatum"
"ALCA3","","Allium canadense"
"ALCAC","","Allium canadense var. canadense"
"ALCAE","","Allium canadense var. ecristatum"
"ALCAF","","Allium canadense var. fraseri"
"ALCAH","","Allium canadense var. hyacinthoides"
"ALCAL","","Allium canadense var. lavandulare"
"ALCAM","","Allium canadense var. mobilense"
"ALCE","","Allium cepa"
"ALCE2","","Allium cernuum"
"ALCEC2","","Allium cernuum var. cernuum"
"ALCEN","","Allium cernuum var. neomexicanum"
"ALCEO","","Allium cernuum var. obtusum"
"ALCO2","","Allium columbianum"
"ALCO3","","Allium constrictum"
"ALCO","","Allium coryi"
"ALCR3","","Allium cratericola"
"ALCR4","","Allium crenulatum"
"ALCR5","","Allium crispum"
"ALCU","","Allium cuthbertii"
"ALDE6","","Allium denticulatum"
"ALDI10","","Allium diabolense"
"ALDI2","","Allium dichlamydeum"
"ALDI3","","Allium dictuon"
"ALDO","","Allium douglasii"
"ALDR","","Allium drummondii"
"ALEL","","Allium elmendorfii"
"ALFA3","","Allium falcifolium"
"ALFI","","Allium fibrillum"
"ALFI2","","Allium fimbriatum"
"ALFIF","","Allium fimbriatum var. fimbriatum"
"ALFIM","","Allium fimbriatum var. mohavense"
"ALFIP2","","Allium fimbriatum var. purdyi"
"ALFI4","","Allium fistulosum"
"ALGE","","Allium geyeri"
"ALGEC","","Allium geyeri var. chatterleyi"
"ALGEG","","Allium geyeri var. geyeri"
"ALGET","","Allium geyeri var. tenerum"
"ALGL","","Allium glandulosum"
"ALGO","","Allium gooddingii"
"ALHA","","Allium haematochiton"
"ALHI","","Allium hickmanii"
"ALHO","","Allium hoffmanii"
"ALHO2","","Allium howellii"
"ALHOC","","Allium howellii var. clokeyi"
"ALHOH","","Allium howellii var. howellii"
"ALHOS","","Allium howellii var. sanbenitense"
"ALHY","","Allium hyalinum"
"ALJE","","Allium jepsonii"
"ALKU","","Allium kunthii"
"ALLA3","","Allium lacunosum"
"ALLAD","","Allium lacunosum var. davisiae"
"ALLAK","","Allium lacunosum var. kernense"
"ALLAL","","Allium lacunosum var. lacunosum"
"ALLAM2","","Allium lacunosum var. micranthum"
"ALLE3","","Allium lemmonii"
"ALMA4","","Allium macropetalum"
"ALMA5","","Allium macrum"
"ALMA6","","Allium madidum"
"ALME","","Allium membranaceum"
"ALMO3","","Allium monticola"
"ALMU6","","Allium munzii"
"ALNE3","","Allium neapolitanum"
"ALNE","","Allium nevadense"
"ALNE4","","Allium nevii"
"ALNI","","Allium nigrum"
"ALOB","","Allium obtusum"
"ALOBC","","Allium obtusum var. conspicuum"
"ALOBO","","Allium obtusum var. obtusum"
"ALOL","","Allium oleraceum"
"ALOX","","Allium oxyphilum"
"ALPA20","","Allium paniculatum"
"ALPA2","","Allium parishii"
"ALPA11","","Allium parryi"
"ALPA3","","Allium parvum"
"ALPA5","","Allium passeyi"
"ALPE","","Allium peninsulare"
"ALPEF","","Allium peninsulare var. franciscanum"
"ALPEP2","","Allium peninsulare var. peninsulare"
"ALPE2","","Allium perdulce"
"ALPEP","","Allium perdulce var. perdulce"
"ALPES","","Allium perdulce var. sperryi"
"ALPL2","","Allium platycaule"
"ALPL3","","Allium pleianthum"
"ALPL4","","Allium plummerae"
"ALPO2","","Allium porrum"
"ALPR2","","Allium praecox"
"ALPU","","Allium punctum"
"ALRO","","Allium robinsonii"
"ALRU","","Allium runyonii"
"ALSA","","Allium sanbornii"
"ALSAC","","Allium sanbornii var. congdonii"
"ALSAS","","Allium sanbornii var. sanbornii"
"ALSA2","","Allium sativum"
"ALSC","","Allium schoenoprasum"
"ALSCS2","","Allium schoenoprasum var. schoenoprasum"
