,,birch,,,buds,,,,,,,,,,,,,,,,,,,,
,year,phenotype,d/mo/yr,julian date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total
272,1998,puu 2,1/5/98,121.00,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,,5
273,1998,puu 2,2/5/98,122.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
283,1998,puu 3,28/4/98,118.00,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,2
284,1998,puu 3,29/4/98,119.00,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,2
285,1998,puu 3,30/4/98,120.00,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,2
286,1998,puu 3,1/5/98,121.00,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,9
287,1998,puu 3,2/5/98,122.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
298,1998,puu 4,29/4/98,119.00,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,1
299,1998,puu 4,30/4/98,120.00,,0,0,0,1,0,0,1,0,0,,,,,,,,,,,2
300,1998,puu 4,1/5/98,121.00,,1,1,0,1,0,1,1,0,0,,,,,,,,,,,5
301,1998,puu 4,2/5/98,122.00,,1,1,1,1,1,1,1,0,1,,,,,,,,,,,8
302,1998,puu 4,3/5/98,123.00,,1,1,1,1,1,1,1,0,1,,,,,,,,,,,8
303,1998,puu 4,4/5/98,124.00,,1,1,1,1,1,1,1,0,1,,,,,,,,,,,8
304,1998,puu 4,5/5/98,125.00,,1,1,1,1,1,1,1,0,1,,,,,,,,,,,8
305,1998,puu 4,6/5/98,126.00,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
314,1998,puu 5,1/5/98,121.00,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,6
315,1998,puu 5,2/5/98,122.00,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,7
316,1998,puu 5,3/5/98,123.00,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,8
317,1998,puu 5,4/5/98,124.00,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
330,1998,puu 6,3/5/98,123.00,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1
331,1998,puu 6,4/5/98,124.00,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1
332,1998,puu 6,5/5/98,125.00,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,2
333,1998,puu 6,6/5/98,126.00,0,0,1,1,1,1,0,0,1,1,,,,,,,,,,,6
334,1998,puu 6,7/5/98,127.00,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,8
335,1998,puu 6,8/5/98,128.00,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,8
336,1998,puu 6,9/5/98,129.00,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,9
337,1998,puu 6,10/5/98,130.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
339,1998,puu 7A,28/4/98,118.00,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1
340,1998,puu 7A,29/4/98,119.00,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1
341,1998,puu 7A,30/4/98,120.00,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1
342,1998,puu 7A,1/5/98,121.00,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,3
343,1998,puu 7A,2/5/98,122.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
356,1998,puu 8,1/5/98,121.00,0,0,1,1,0,1,0,0,0,1,,,,,,,,,,,4
357,1998,puu 8,2/5/98,122.00,1,1,1,1,1,1,0,0,1,1,,,,,,,,,,,8
358,1998,puu 8,3/5/98,123.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
