Name,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,,,,,,,,,,,,,,,
Carex acutiformis  ,28-Apr,6-May, ,18-Mar, , , ,2-Apr,7-May,30-Apr,25-Apr,24-Apr,21-Apr,20-Apr,20-Apr,24-Apr,3-May,25-Apr,6-Apr,20-Apr,12-Apr, ,25-Apr, ,19-Apr, ,14-Apr,21-Apr,24-Apr,27-Apr, , ,4-May, ,23-Apr,28-Mar,, ,8-May,30-Mar,13-Apr,24-Apr, ,19-Apr, , ,23-Apr,,,,,,,,,,,,,,,
Carex caryophyllea,15-Apr,25-Apr,3-May,4-Apr,29-Apr,17-Apr,23-Apr,7-Apr,30-Apr,25-Apr,1-May,29-Apr, ,20-Apr,22-Apr,1-May,1-May,30-Apr,28-Apr,4-May,25-Apr, ,28-Apr, , , ,23-Apr,17-Apr,18-Apr, ,27-Apr,29-Apr,10-May,3-May,19-Apr,24-Apr,6-Apr,20-Apr,19-Apr,15-Apr,16-Apr,25-Apr,3-May,3-May,22-Apr,21-Apr,29-Apr,,,,,,,,,,,,,,,
Carex disticha  , ,1-Jun,15-Jun, ,30-May, , , , ,20-May, ,6-May, ,17-Jun,31-May, ,16-May,5-Jun, ,4-Jun, , ,21-May, ,9-Jun,16-Jun,15-Jun,15-Jun,30-May, ,17-Jun,2-Jun,27-May,3-Jun,24-May,18-May, ,20-May,17-May,31-May,9-May,9-May,11-Jun,13-May, , ,17-May,,,,,,,,,,,,,,,
Carex hirta, ,31-May, ,9-May,29-May,6-Jun,22-May,22-May,5-Jun,3-Jun,20-May,23-May,21-May,12-May,29-May,31-May, , ,1-Jun,27-Apr,28-May, ,21-May,27-May,29-May,2-Jun,13-May,11-May,18-May,21-May, ,1-Jun,7-Jun,30-May,21-May,19-May,18-May, , ,4-Jun,15-May,23-May,16-May, ,17-May,21-May,16-May,,,,,,,,,,,,,,,
Carex panicea  , , ,12-May,4-May, , , , , ,30-Apr, , , , , , ,16-May,16-May, ,6-May,26-May,25-May, ,21-May,26-May,19-May,19-May,24-May,2-May, ,20-May,9-May, , ,15-May,7-May,3-May,21-May,16-May,18-Apr,15-May,20-May,16-May,4-May, ,3-May,10-May,,,,,,,,,,,,,,,
Carex paniculata , , ,30-May,14-May, , ,30-May,9-Jun, ,30-Apr, , , ,26-May,1-Jun, ,16-May,5-Jun,18-May,12-Jun, , , , ,16-Jun, , , ,6-Jun, ,9-May,26-May,18-Jun,10-Jun,24-May,18-May,, ,19-May, ,18-Jun,3-Jun,12-Jun, , , , ,,,,,,,,,,,,,,,
Carex sylvatica  ,14-May, , ,4-May,12-May,10-May, ,3-May,9-May, ,10-May, , ,23-Apr,18-May,14-May, , ,5-May, ,18-May, ,8-May, , ,19-May,10-May, , ,30-Apr, ,18-May, ,12-May,24-Apr,17-May,29-Apr,7-May,12-May,6-May, ,2-May, , ,5-May,3-May,10-May,,,,,,,,,,,,,,,
Carlina vulgaris,14-Jul,23-Jul,5-Aug, ,30-Jul,3-Aug,29-Jul,27-Jul,27-Jul,9-Aug, ,31-Jul,4-Aug,4-Aug,5-Aug,10-Aug,13-Jul,30-Jul,12-Aug,18-Jul,29-Jul, ,17-Jul,15-Aug,30-Jul,2-Aug, ,7-Aug,22-Jul,25-Jul,18-Jul,5-Aug,13-Aug, ,3-Aug,28-Jul,24-Jul,9-Aug,18-Jul, , , ,30-Jul,29-Jul, , , ,,,,,,,,,,,,,,,
Carpinus betulus, , ,18-Apr, ,22-Apr, , , ,29-Apr,5-May, ,11-Apr, ,29-Mar,28-Apr,1-May,4-May,22-Apr,18-Apr, ,6-Apr, ,15-Apr,29-Apr,11-May,26-Apr,19-Apr,27-Mar,8-Apr,29-Apr,24-Apr,29-Apr,15-May,6-May,16-Apr,16-Apr,, , ,17-Mar, , ,16-Apr, ,23-Mar, ,17-Mar,,,,,,,,,,,,,,,
Centaurea nigra,21-Jun,10-Jun,17-Jun,15-Jun,17-Jun,10-Jun,30-Jun,6-Jun,29-Jun,1-Jul,5-Jul, ,12-Jun,5-Jul,23-Jun,19-Jun,12-Jun,5-Jul,21-Jun,20-Jun,18-Jun,27-Jun,11-Jun,11-Jun,21-Jun,24-Jun,4-Jul,17-Jun,5-Jun,20-Jul, , ,12-Jul,7-Jul,14-Jul,14-Jun,27-May, ,18-Jun, ,17-Jun, , ,22-Jun,21-Jun, , ,,,,,,,,,,,,,,,
Centaurea scabiosa,19-Jun,9-Jun,19-Jun,10-Jun,18-Jun,15-Jun,28-Jun, ,2-Jul,22-Jun,26-Jun,2-Jul,16-Jun,5-Jul,1-Jul,27-Jun,12-Jun, ,3-Jul,25-Jun,1-Jul,27-Jun,14-Jun, ,24-Jun,23-Jun,15-Jun,19-Jun,5-Jun,1-Jul,25-Jun,16-Jun,2-Jul,27-Jun,3-Jul,14-Jun,15-Jun, ,6-Jun,13-Jun,17-Jun,22-Jun,15-Jun, ,15-Jul,2-Jun,27-Jun,,,,,,,,,,,,,,,
Cephalanthera damasonium,8-Jun,22-May,29-May,23-May, ,29-May,22-May,14-May, ,2-Jun,7-Jun,4-Jun,1-Jun,9-Jun,4-Jun,13-Jun,6-Jun, ,19-Jun,8-Jun,1-Jun, , ,6-Jun,6-Jun,18-Jun,1-Jun, ,29-May,10-Jun,9-Jun, ,16-Jun,7-Jun, ,5-Jun,12-May,2-May,4-Jun,15-Jun,13-May,31-May,12-Jun, , , ,22-May,,,,,,,,,,,,,,,
Cerastium fontanum,8-May,17-Apr,16-Apr,22-Mar,8-Mar,8-Mar,19-Apr,30-Mar, ,8-Apr,25-Apr,24-Apr,22-Apr,20-Apr,27-Apr,12-Apr, ,18-Apr,14-Apr,27-Apr, ,4-Apr,9-Apr,6-May,28-Apr,28-Apr, ,6-Apr,26-Mar,2-Apr,29-Apr,6-May,10-May,11-Apr,12-Apr,28-Apr,9-Mar,1-Apr,18-Apr,14-Mar,27-Apr,25-Apr,27-Apr,2-Apr,31-Mar,27-Feb,2-May,,,,,,,,,,,,,,,
Cerastium glomeratum,27-Apr,28-Apr,15-May,15-Mar,4-May, ,10-Apr,15-Apr,10-May,10-May,25-Apr,24-Apr,16-Apr,31-Mar,26-Apr,10-Apr,24-May,13-Mar,30-Apr,9-May,12-Apr,19-Apr,24-Apr,31-Mar,14-Apr,26-May,11-May,27-Mar,4-Apr,8-May,29-Apr,24-Apr,27-May,5-May,26-Mar, ,27-Mar,18-Apr,6-May,7-Apr,19-Mar,13-Apr,20-Apr, ,23-Feb,17-Apr,23-Apr,,,,,,,,,,,,,,,
Cerastium tomentosum, , ,23-May,1-May,8-May, ,22-May, ,11-May, ,20-May, ,13-May,29-Apr,5-May, ,18-May, , , , , , , , ,16-May,17-May,10-May, ,20-May, , , , ,25-Apr,9-May,, , ,22-May, ,1-May,25-May,17-Apr, ,27-Apr,20-May,,,,,,,,,,,,,,,
Chaerophyllum temulentum, ,27-May,29-May,30-Apr,25-May,15-May, ,9-May,23-May,30-May,17-May,22-May,22-May,12-May,9-Jun,30-May,28-May,27-May,3-Jun,26-May,28-May,21-May, ,4-Jun,26-May,1-Jun,23-May, ,16-May,4-Jun,28-May,31-May,28-May,30-May,27-May,16-May,25-May,26-May,21-May,24-May, ,25-May,20-May,5-May,22-May,18-May,20-May,,,,,,,,,,,,,,,
Chamaenerion angustifolium,24-Jun,3-Jul, ,18-Jun,18-Jun,11-Jun,28-Jun,17-Jun,3-Jul,27-Jun, ,3-Jul,19-Jun, ,19-Jun,23-Jun,16-Jun,4-Jul,3-Jul,21-Jun,23-Jun,25-Jun,20-Jun,5-Jul,27-Jun,26-Jun,23-Jun,18-Jun,14-Jun,30-Jun,21-Jun,24-Jun,3-Jul,24-Jun,28-Jun,15-Jun,14-Jun,6-Jul,18-Jun,16-Jun,22-Jun, ,3-Jul,21-Jun,22-Jun,16-Jun,22-Jun,,,,,,,,,,,,,,,
Chelidonium majus,4-May,9-May,12-May,17-Apr,5-May,16-Apr,10-May,17-Apr,6-May,10-May,17-May,14-May,15-May,28-Apr,28-Apr,13-May,15-May,22-Apr,6-May,5-May,22-Apr, ,24-Apr,10-May, ,15-May,12-May,14-May,28-Apr,6-May,19-May,9-May,24-May,5-May,29-Apr,30-Apr,1-May,21-May,9-May,29-Apr,29-Apr,4-May,4-May,14-Apr,21-Apr,8-Apr,26-Apr,,,,,,,,,,,,,,,
Chenopodium album,14-Jul,23-Jun,3-Jul,1-Jul,6-Jul,15-Jun,2-Jul, ,15-Jul,26-Jun,7-Jul,16-Jul, ,15-Jul,3-Jul, ,30-Jun,8-Jul,13-Jul,11-Jul,6-Jul,27-Jun,26-Jun,20-Jul,7-Jul,20-Jul,1-Jul,25-Jul,18-Jun,7-Jul,7-Jul,5-Jul,28-Jun,8-Jul,12-Jul, ,20-Jul,12-Jul,11-Jul,16-Jul, ,4-Jul,15-Jul,9-Jul,20-Jul,11-Jun,3-Jul,,,,,,,,,,,,,,,
Chrysosplenium oppositifolium,21-Feb,5-Mar,11-Mar,24-Feb,8-Mar, ,6-Apr,4-Mar,6-Apr,8-Apr,2-Apr,7-Apr,8-Mar,3-Mar, ,5-Apr,20-Mar, ,19-Mar,8-Mar,18-Mar,28-Feb,21-Mar,23-Mar,21-Mar,21-Apr,12-Mar,13-Mar,11-Mar,5-Mar,31-Mar,1-Mar,22-Mar,1-Mar,10-Mar,23-Feb,24-Feb,11-Mar,7-Mar,26-Feb,1-Mar,12-Feb,15-Mar,12-Mar,3-Mar,21-Feb,7-Mar,,,,,,,,,,,,,,,
Cicerbita macrophylla,15-Jul,14-Jul, ,13-Jul, ,17-Jul,16-Jul, , ,14-Jul,5-Jul, , , ,21-Jul, , ,21-Jul, ,22-Jul, , , , , ,8-Jul,4-Jul, ,2-Jul,10-Jul,18-Jul,24-Jul,7-Jul,7-Jul,23-Jul,18-Jul,6-Jul,12-Jul,11-Jul,19-Jun,22-Jun,2-Jul, ,9-Jul,1-Jul,30-Jun,21-Jun,,,,,,,,,,,,,,,
Cichorium intybus,22-Jul,15-Jul, ,2-Jul,10-Jul,25-Jul,5-Jul,28-Jul,5-Aug,21-Jul,5-Jul,18-Jul, ,21-Jul,6-Jul,22-Jul,1-Jul,11-Jul, , , ,19-Jul,29-Jun, ,24-Jul,8-Jul, , ,20-Jun,23-Jul, , , , ,3-Jul,14-Jul,16-Jul,17-Jul, , ,17-Jun,14-Jul, ,16-Jun,10-Jul,30-Jun, ,,,,,,,,,,,,,,,
Circaea lutetiana,10-Jul,12-Jul,3-Jul,7-Jun,5-Jul,20-Jun,9-Jul,15-Jun,2-Jul,22-Jun,23-Jun,8-Jul,6-Jul,28-Jun,2-Jul,2-Jul,21-Jun,4-Jul,3-Jul,8-Jul,2-Jul,24-Jun,20-Jun,7-Jul,1-Jul,7-Jul,1-Jul,4-Jul,18-Jun,29-Jun,2-Jul,4-Jul,1-Jul,4-Jul,26-Jun,25-Jun,13-Jun, ,13-Jun, ,22-Jun,4-Jul,11-Jul,17-Jun,30-Jun,19-Jun,2-Jul,,,,,,,,,,,,,,,
Cirsium acaule,25-Jul,8-Jul,12-Jul,6-Jul,10-Jul,17-Jul,10-Jul,23-Jul,30-Jun,10-Jul,15-Jul,19-Jul,26-Jul,13-Jul,30-Jun,22-Jul,27-Jun,9-Jul,2-Aug,18-Jul,12-Jul,18-Jul,9-Jul,31-Jul,22-Jul,17-Jul,30-Jul,26-Jul,3-Jul,18-Jul,9-Jul,30-Jun,17-Jul, ,24-Jul,23-Jul,6-Jul,14-Jul,9-Jul,25-Jul,23-Jul,25-Jul,21-Jul,7-Jul, ,22-Jul, ,,,,,,,,,,,,,,,
Cirsium arvense,30-Jun,22-Jun,16-Jun,26-May,17-Jun,26-May,13-Jun,14-Jun,2-Jul,18-Jun,23-Jun, ,8-Jun,27-Jun,24-Jun,19-Jun,15-Jun,15-Jun,27-Jun,12-Jun,22-Jun,17-Jun,20-Jun,29-Jun,20-Jun,11-Jun,13-Jun,10-Jun,7-Jun,25-Jun,26-Jun,23-Jun,30-Jun,17-Jun,15-Jun,6-Jun,4-Jun, ,3-Jun,16-Jun,20-Jun,22-Jun, ,22-Jun,16-Jun,11-Jun,20-Jun,,,,,,,,,,,,,,,
Cirsium dissectum,22-Jun,24-Jun, , , , ,4-Jun,9-Jun, , , ,6-Jun,9-Jun,13-Jun,9-Jun,28-Jun,20-Jun, , , , , , ,4-Jun,9-Jun, , ,15-Jun,4-Jun, , ,29-Jun, ,10-Jun, ,27-May,, , ,13-Jun,29-May,3-Jun,2-Jul,22-May, ,30-Jun, ,,,,,,,,,,,,,,,
Cirsium eriophorum,22-Jul,14-Jul, ,28-Jun,16-Jul,17-Jul, , , ,19-Jul,30-Jul,30-Jul, , ,26-Jul,27-Jul,25-Jul,23-Jul,28-Jul,9-Jul,24-Jul,30-Jul,16-Jul,10-Aug,25-Jul, , , ,2-Jul, ,18-Jul, , , , ,29-Jul,, , , ,16-Jul, ,16-Jul,22-Jul, ,1-Aug, ,,,,,,,,,,,,,,,
Cirsium vulgare, ,9-Jul,10-Jul,20-Jun,6-Jul,10-Jul,2-Jul,10-Jul, ,8-Jul,5-Jul,11-Jul,6-Jul, ,12-Jul,3-Jul, ,7-Jul,4-Jul,28-Jun, ,25-Jun,22-Jun,5-Jul,30-Jun, , ,23-Jun,11-Jun,7-Jul,5-Jul,1-Jul,5-Jul,11-Jul,25-Jun,20-Jun,16-Jun, , ,13-Jun,17-Jun, ,1-Jul,23-Jun, ,20-Jun,26-Jun,,,,,,,,,,,,,,,
Clematis vitalba, ,18-Jul,22-Jul,11-Jul,18-Jul,25-Jun,2-Jul,12-Jul,27-Jul,15-Jul,18-Jul,12-Jul,11-Jul,19-Jul,21-Jul,23-Jul,14-Jul,18-Jul,26-Jul,9-Jul,12-Jul,17-Jul,1-Jul,11-Jul,20-Jul,25-Jul,31-Jul,12-Jul,3-Jul,15-Jul,15-Jul,20-Jul,15-Jul,19-Jul,24-Jul,12-Jul,7-Jul,28-Jul,2-Jul,11-Jul,15-Jul,24-Jul,15-Jul,19-Jul,5-Jul, , ,,,,,,,,,,,,,,,
Clinopodium vulgare,21-Jul,19-Jul,23-Jul,6-Jul,15-Jul,17-Jul,2-Jul,12-Jul,27-Jul,23-Jul,5-Jul,23-Jul,26-Jul,13-Jul,6-Jul,18-Jul,27-Jul,5-Jul,19-Jul,18-Jul,12-Jul, ,3-Jul,16-Jul,21-Jul,15-Jul,24-Jul,17-Jul,3-Jul,9-Jul,15-Jul,13-Jul,16-Jul,19-Jul,20-Jul,23-Jul,6-Jul,28-Jul,28-Jun, ,21-Jul, ,21-Jul,7-Jul,15-Jul,16-Jul, ,,,,,,,,,,,,,,,
Coeloglossum viride, , ,9-Jul,7-Jul, , , , , ,5-Jul,5-Jul,16-Jul,21-Jun,24-Jul,26-Jun, , ,14-Jul,9-Jul, ,20-Jul, , , , , , ,5-Jul,4-Jul,28-Jun,9-Jul,3-Jul,26-Jun,28-Jun,24-Jun,20-Jun,1-Jul,5-Jul, ,24-Jun,26-Jun, , , , ,27-Jun, ,,,,,,,,,,,,,,,
Conium maculatum  ,15-Jun,10-Jun,19-Jun,9-Jun,15-Jun,10-Jun,6-Jun,24-May, ,14-Jun,14-Jun,5-Jun,13-Jun,5-Jun,5-Jun,11-Jun,1-Jun, ,21-Jun,10-Jun,22-Jun,13-Jun,11-Jun,12-Jun,6-Jun,11-Jun,5-Jun,10-Jun,25-May,9-Jun,4-Jun,6-Jun,6-Jun,30-May,11-Jun,6-Jun,26-May, ,3-Jun,10-Jun,5-Jun,10-Jun, , ,22-May, ,31-May,,,,,,,,,,,,,,,
Conopodium majus, ,4-Jun,19-May,19-May,17-May,13-May,10-May, ,7-Jun,4-Jun,22-May,21-May,21-May,16-May,1-Jun,24-May,21-May,14-May,29-May,19-May,17-May,16-May, ,26-May,2-Jun, ,29-May,28-May,6-May,25-May,30-May,29-May,5-Jun,9-May,13-May,20-May,23-May, ,12-May, , ,20-May,11-May, ,20-May, ,29-May,,,,,,,,,,,,,,,
Convolvulus arvensis,27-Jun,25-Jun,1-Jul,21-Jun, ,16-Jun, , ,30-Jun,22-Jun,4-Jul,5-Jul,17-Jun, , ,20-Jun,20-Jun, , ,26-Jun,4-Jun,15-Jun,12-Jun, ,24-Jul,9-Jun,15-Jun,3-Jul,10-Jun,28-Jun, , ,30-Jun, ,28-Jun, ,, , , , , ,14-Jun, ,6-Jun,20-Jun,21-Jun,,,,,,,,,,,,,,,
Conyza canadensis, ,22-Jul, ,3-Jul,19-Jul,25-Jun, , , , , , ,8-Jul,29-Jun,19-Jul, ,16-Jul,20-Jul, ,17-Jul,27-Jun,26-Jun,1-Jul,18-Jul,13-Jul,17-Jul,18-Jul, ,7-Jul,23-Jul,15-Jul,30-Jul,16-Jul,23-Jul,1-Jul,1-Jul,, ,5-Jul,9-Jul,15-Jul,18-Jul,15-Jul,7-Jun, ,24-Apr, ,,,,,,,,,,,,,,,
Cornus sanguinea,18-Jun,19-Jun,16-Jun,11-Jun,16-Jun,29-May,6-Jun,3-Jun,27-Jun,16-Jun,10-Jun, ,10-Jun,10-Jun,12-Jun,19-Jun,13-Jun,19-Jun, ,17-Jun,4-Jun,16-Jun,12-Jun, ,13-Jun,23-Jun,12-Jun,1-Jun,3-Jun, ,10-Jun,20-Jun, ,14-Jun,16-Jun,29-May,26-May,8-Jun,2-Jun,10-Jun,11-Jun,10-Jun,17-Jun,28-May,3-Jun,7-Jun,31-May,,,,,,,,,,,,,,,
Corylus avellana ,3-Jan, , ,20-Jan,12-Jan,25-Jan,4-Jan,8-Jan,21-Jan,6-Mar,27-Jan,16-Jan,14-Jan, ,19-Jan,25-Jan,24-Jan, ,21-Jan,27-Jan,18-Jan, ,3-Jan,23-Jan, ,3-Mar,19-Feb,25-Jan,31-Jan,9-Jan,14-Jan,6-Feb,26-Jan,7-Feb,14-Jan,22-Jan,1-Jan, ,3-Feb,15-Jan,20-Jan,11-Jan,16-Jan,7-Feb,10-Jan,26-Jan, ,,,,,,,,,,,,,,,
Crepis biennis,22-Jun,29-Jun,19-Jun,7-Jun, ,23-May,4-Jun, , , ,14-Jun,6-Jun,14-Jun,19-Jun, ,1-Jun,21-Jun, , ,4-Jun, , , ,12-Jun,8-Jun,23-Jun, ,12-Jun, , ,18-Jun, ,5-Jun,14-Jun,28-May, ,, , ,1-Jul,6-Jun,15-Jun, , ,5-Jun,1-Jun,13-Jun,,,,,,,,,,,,,,,
Crepis capillaris,2-Jul,28-Jun,14-Jun,25-May,27-Jun,22-Apr,30-Jun,18-Apr, ,30-Jun, , ,19-May,28-Jun,6-Jul,27-Jun,5-Jun,4-Jul,1-Jul,12-Jun, ,3-Jul,8-Jul,8-Jul,7-Jun,7-Jul,7-Jun,10-Jul, ,7-Jul,11-Jun,22-Jun,29-Jun,30-Jun,3-Jul,11-May,22-Jun, ,18-Jun, , , , ,6-Jun,30-Jun,20-Jun,21-Jun,,,,,,,,,,,,,,,
Crepis vesicaria,15-May,18-May,16-May,23-Apr,10-May,9-May,12-May,14-Apr,25-May,28-May,14-May,15-May,19-May,9-May,9-May,17-May,28-May,11-May,30-Apr,25-May,10-May,12-May,8-May,19-May,23-May,30-May,10-May,10-May,15-May,15-May,8-May,9-May,31-May,7-May,24-Apr,28-Apr,28-Apr, ,30-Apr, ,10-May,4-May,25-May,18-Apr,5-May,26-Apr,13-May,,,,,,,,,,,,,,,
Cymbalaria muralis,4-May,27-Apr,1-May,23-Mar,16-Mar,3-Apr,22-Apr,10-Apr, ,4-May,25-Apr,23-Apr,15-Apr,13-Apr,24-Apr,10-Apr,4-May,23-Apr,10-Apr,20-Apr,3-Apr,12-Apr,24-Apr,30-Mar,14-Apr, ,18-Apr,3-Apr,2-May, ,28-Apr,25-Apr,12-May,17-Apr,7-Apr,20-Mar,23-Mar,14-Apr,18-Mar,18-Mar,31-Mar,31-Jan, , ,17-Feb, , ,,,,,,,,,,,,,,,
Cynosurus cristatus  , ,28-May, ,20-May,22-May,17-May,29-May,28-May,5-Jun,31-May,22-May,29-May,2-Jun,27-May,2-Jun,1-Jun,2-Jun,28-May,14-May,26-May, ,6-Jun, ,4-Jun,28-May,2-Jun,7-Jun,22-May,26-May,30-May,7-Jun,24-May,27-May,4-Jun,22-May,22-May,24-May, ,24-May,25-May,31-May,4-Jun,5-Jun,1-Jun,31-May,24-May,31-May,,,,,,,,,,,,,,,
Dactylorhiza fuchsii,13-Jun,7-Jun,14-Jun,10-Jun,13-Jun,6-Jun,6-Jun,6-Jun,28-Jun,2-Jun,27-May,3-Jun,28-May,6-Jun,4-Jun,8-Jun,1-Jun,14-Jun,16-Jun,5-Jun,4-Jun,7-Jun,11-Jun,11-Jun,4-Jun,9-Jun,7-Jun,28-May,29-May,8-Jun,12-Jun,10-Jun,13-Jun,5-Jun,28-May,26-May,25-May,8-Jun,4-Jun,2-Jun,27-May,20-May,12-Jun,1-Jun,4-Jun,24-May,31-May,,,,,,,,,,,,,,,
Dactylorhiza incarnata, , ,19-Jun,14-May,30-May, ,30-May, , , , ,6-Jun,30-May,26-May,9-Jun, ,13-Jun, , ,7-Jun, , , ,4-Jun,8-Jun, , , ,6-Jun, ,7-Jun,5-Jun,8-Jun,10-Jun, , ,27-May,24-May,19-May, ,15-May,18-Jun,19-Jun, , , , ,,,,,,,,,,,,,,,
Dactylorhiza praetermissa,6-Jul, , , , , , , , , , , ,13-Jun,10-Jun,9-Jun, ,11-Jun,20-Jun,1-Jul,8-Jun, , , , ,16-Jun,16-Jun,15-Jun,15-Jun,30-May, ,17-Jun,5-Jun, ,4-Jun,24-May,21-May,22-May,7-Jun,2-Jun,3-Jun,23-May,23-May,11-Jun,23-May,19-May,26-May, ,,,,,,,,,,,,,,,
Daphne laureola ,1-Mar,30-Mar,6-Mar,6-Feb,5-Feb,24-Feb,24-Jan,25-Mar,22-Mar,30-Mar,16-Feb,20-Mar,18-Mar,26-Feb, ,14-Mar,23-Feb,24-Feb,18-Mar,2-Feb,8-Mar,8-Jan,11-Jan,12-Feb,22-Jan,24-Mar,24-Feb,25-Jan,7-Feb,4-Jan,14-Jan,18-Feb,26-Jan,6-Jan,3-Jan, ,7-Jan,14-Jan,7-Feb,29-Dec,2-Jan,11-Feb,31-Jan,16-Feb,16-Jan,29-Dec,21-Jan,,,,,,,,,,,,,,,
Daphne mezereum,4-Apr, ,4-Apr,2-Feb,14-Feb,6-Mar,12-Feb, ,3-Feb,20-Mar,8-Mar,12-Mar,26-Feb,4-Mar, ,22-Mar,21-Mar,20-Feb,16-Mar,15-Mar,27-Feb,5-Jan,31-Jan,5-Mar,4-Mar,31-Mar,9-Mar,28-Feb,6-Mar,5-Feb,17-Mar,29-Mar, , ,27-Feb,28-Feb,10-Feb,18-Mar,9-Mar,31-Jan,2-Mar,30-Jan,29-Feb,25-Feb,15-Feb,14-Feb,12-Mar,,,,,,,,,,,,,,,
Daucus carota carota,27-Jun,21-Jun,30-Jun, , ,31-May, ,25-Apr, ,29-Jun,5-Jul, , ,8-Jul,6-Jul,30-Jun,17-Jun, , , , ,4-Jul,10-Jul, ,6-Jul,24-Jun,16-Jun,1-Jul,8-Jun, , ,30-Jun,4-Jul, ,22-Jun,30-Jun,14-Jun,12-Jun,18-Jun, , , ,3-Jul,23-Jun,8-Jul,11-Jun,27-Jun,,,,,,,,,,,,,,,
Deschampsia cespitosa,15-Jun,14-Jun,15-Jun,13-May,15-Jun,16-Jun,4-Jun,12-Jun,29-Jun,25-Jun,14-Jun, ,12-Jun,9-Jun,16-Jun,16-Jun,8-Jun, ,21-Jun,14-Jun, ,18-Jun, ,11-Jun,8-Jun,8-Jun,7-Jun,10-Jun,12-Jun,3-Jul,23-Jun,8-Jun,12-Jun,19-Jun,25-Jun,15-Jun,8-Jun, , , , ,18-Jun, ,2-Jun, ,21-Jul,2-Jul,,,,,,,,,,,,,,,
Deschampsia flexuosa, ,30-May,31-May,17-May,20-May,9-May,21-May,17-May,3-Jun,7-Jun, ,21-May,18-May,7-Jun,29-May,29-May, ,8-May,21-May,31-May,14-May,17-May, ,22-May,8-Jun,15-Jun,17-May,22-May,21-May,17-May,29-May,24-May,1-Jun,24-May,4-Jun,19-May,17-May,31-May,16-May,13-May,28-May,21-May, ,25-May,30-May,21-May,22-May,,,,,,,,,,,,,,,
Digitalis purpurea,14-Jun,4-Jun,22-Jun,6-Jun,19-Jun, ,31-May,23-Apr, ,7-Jun,25-May, ,9-Jun,7-Jun,8-Jun,21-Jun,16-Jun,17-Jun,17-Jun,1-Jun, ,30-May,11-Jun, ,6-Jun,22-Jun,5-Jun,10-Jun,2-Jun,30-May,14-Jun,13-Jun,16-Jun,11-Jun,12-Jun,28-May,17-May, ,1-Jun,26-May,9-Jun, , , ,2-Jun,30-May,30-May,,,,,,,,,,,,,,,
Dryopteris dilatata, , ,10-May,7-Apr, ,17-Apr,7-May, , ,26-Apr,10-May, , ,5-May, , , ,8-May,16-Apr, ,6-Apr, ,2-May, ,29-Apr,6-May,19-Apr, ,11-Apr,28-Apr,27-Apr, ,10-May,8-May, ,23-Apr, ,21-Apr, ,16-Apr,24-Apr,24-Apr,29-Apr,7-Apr,16-Apr, , ,,,,,,,,,,,,,,,
Dryopteris filix-mas,1-May, , ,7-Apr,29-Apr,17-Apr,30-Apr,17-Apr,5-May,1-May,3-May, , ,28-Apr, ,4-May,3-May,29-Apr, ,4-May,13-Apr, ,25-Apr, , ,13-May,19-Apr,16-Apr,13-Apr,28-Apr,27-Apr,24-Apr,8-May,4-May,24-Apr,1-Apr, ,16-Apr,10-Apr,13-Apr,5-Apr,13-Apr,25-Apr,6-Apr,6-Apr,2-Apr, ,,,,,,,,,,,,,,,
Elymus caninus  , , , , , , ,2-Jul, , , ,3-Jul, ,10-Jul,8-Jul,29-Jun,20-Jul,18-Jul,11-Jul,26-Jul,11-Jul,9-Jul,4-Jul,13-Jun,24-Jul,22-Jul,23-Jul, ,3-Jul,30-Jun,2-Jul,24-Jun,7-Jul,8-Jul, ,3-Jul,28-Jun,, , , , ,2-Jul, ,24-Jun, ,1-Jul,2-Jul,,,,,,,,,,,,,,,
Elytrigia repens  ,15-Jun,29-Jun,15-Jun,19-Jun, ,16-Jun, ,10-Jun,30-Jun,18-Jun,18-Jun,11-Jun,17-Jun,22-Jun,19-Jun,17-Jun,20-Jun, ,29-Jun,27-May,29-Jun,6-Jun,19-Jun,30-Jun,9-Jun,18-Jun,13-Jun,10-Jun,12-Jun,2-Jul,14-Jun,6-Jun,16-Jun,11-Jun,15-Jun,22-Jun,13-Jun,9-Jun,3-Jun, ,11-Jun, ,15-Jun, ,21-Jun,21-Jun, ,,,,,,,,,,,,,,,
Epilobium ciliatum,29-Jun,22-Jun,2-Jul,19-Jun,24-Jun,10-Jun,3-Jul, , ,15-Jun,25-Jun, ,15-Jun,28-Jun,1-Jul,27-Jun,10-Jun, ,29-Jun,25-Jun,22-Jun,16-Jun,14-Jun,3-Jul,7-Jun,8-Jun,7-Jun,17-Jun,2-Jun,11-Jun,18-Jun,26-Jun,16-Jun,7-Jul,1-Jun,23-May,15-Jun, , , ,22-Jun,27-Jun,10-Jul,7-Jul,7-Jul, ,21-Jun,,,,,,,,,,,,,,,
