BACE spring 2012 tree phenology,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,comments
17,N,7,6265,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
17,N,8,6664,U. americana,107,107,109,109,115,,
17,S,1,6666,U. americana,109,111,111,115,121,,
17,S,2,6466,P. serotina,104,115,109,115,124,,rspt
17,S,3,6467,P. serotina,86,.,86,100,111,,
17,S,4,6364,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
17,S,5,6667,U. americana,115,.,115,117,127,,
17,S,6,6067,B. popul,109,109,109,111,130,,
17,S,7,6267,P. grand,xxx,xxx,xxx,xxx,xxx,y,eaten (and I accidently snapped it when looking for resprouts near base 121 but it was already dead)- GP
17,S,8,6066,B. popul,93,100,109,109,111,,
18,N,1,6068,B. popul,86,86,107,107,111,,
18,N,2,6469,P. serotina,117,.,117,.,124,,rspt
18,N,3,6359,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
18,N,4,6268,P. grand,xxx,xxx,xxx,xxx,xxx,y,
18,N,5,6468,P. serotina,95,.,95,107,109,,
18,N,6,6668,U. americana,100,107,109,109,117,,
18,N,7,6669,U. americana,107,109,111,111,121,,
18,N,8,6069,B. popul,86,86,100,102,107,,
18,S,1,6271,P. grand,100,115,107,107,117,,
18,S,2,6071,B. popul,100,104,107,107,121,,
18,S,3,6558,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
18,S,4,6470,P. serotina,93,.,100,102,107,,tiny resprout
18,S,5,6070,B. popul,100,.,107,109,117,,
18,S,6,6671,U. americana,100,107,111,11,115,,
18,S,7,6670,U. americana,.,107,109,111,117,,
18,S,8,6270,P. grand,xxx,xxx,xxx,xxx,xxx,y,eaten
19,N,1,6073,B. popul,100,107,109,109,130,,
19,N,2,6273,P. grand,107,109,109,109,117,,
19,N,3,6672,U. americana,107,107,109,109,115,,
19,N,4,6673,U. americana,86,86,100,100,107,,
19,N,5,6489,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
19,N,6,6072,B. popul,93,100,109,109,121,,
19,N,7,6488,P. serotina,86,.,86,93,100,,
19,N,8,6272,P. grand,100,107,109,109,117,,
19,S,1,6490,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
19,S,2,6075,B. popul,93,93,107,107,124,,
19,S,3,6674,U. americana,88,88,111,111,115,y,eaten
19,S,4,6491,P. serotina,xxx,xxx,xxx,xxx,xxx,,
19,S,5,6074,B. popul,86,86,93,95,107,,
19,S,6,6675,U. americana,111,111,115,115,121,,
19,S,7,6275,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
19,S,8,6274,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
20,N,1,6276,P. grand,93,.,100,107,115,,
20,N,2,6370,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
20,N,3,6485,P. serotina,86,.,86,93,100,,
20,N,4,6077,B. popul,83,83,86,86,104,,
20,N,5,6484,P. serotina,86,.,86,93,100,,
20,N,6,6677,U. americana,.,107,109,109,115,,
20,N,7,6076,B. popul,83,86,88,93,111,,
20,N,8,6676,U. americana,107,109,109,115,115,,
20,S,1,6078,B. popul,93,100,.,107,121,,
20,S,2,6079,B. popul,95,100,104,107,121,,
