BACE spring 2012 Tree Phenology,,,,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,Comments,,,
34,W,5,4132,B. lenta,.,.,.,.,.,y,very dry,,,
34,W,6,4332,A. rubrum,.,.,.,.,.,y,gone,,,
34,W,7,4732,Q. rubra,.,.,.,.,.,y,gone,,,
34,E,1,4135,B. lenta,.,.,.,.,.,y,very dry,,,
34,E,2,4734,Q. rubra,.,.,.,.,.,y,very dry,,,
34,E,3,4134,B. lenta,.,.,.,.,.,y,very dry,,,
34,E,4,4335,A. rubrum,.,.,.,.,.,y,,,,
34,E,5,4334,A. rubrum,.,.,.,.,.,y,tiny chewed stump,,,
34,E,6,4735,Q. rubra,.,.,.,.,.,y,uprooted,,,
35,W,2,4336,A. rubrum,.,.,.,.,.,y,gone,,,
35,W,3,4737,Q. rubra,.,.,.,.,.,y,very dry,,,
35,W,4,4337,A. rubrum,.,.,.,.,.,y,gone,,,
35,W,6,4736,Q. rubra,.,.,.,.,.,y,very dry,,,
35,W,7,4136,B. lenta,.,.,.,.,.,y,very dry,,,
35,W,8,4137,B. lenta,.,.,.,.,.,y,very dry,,,
35,E,2,4139,B. lenta,.,.,.,.,.,y,very dry,,,
35,E,4,4738,Q. rubra,.,.,.,.,.,y,,,,
35,E,5,4138,B. lenta,.,.,.,.,.,y,,,,
35,E,6,4339,A. rubrum,.,.,.,.,.,y,,,,
35,E,7,4739,Q. rubra,.,.,.,.,.,y,,,,
35,E,8,4338,A. rubrum,.,.,.,.,.,y,gone,,,
36,W,2,4141,B. lenta,.,.,.,.,.,y,very dry,,,
36,W,3,4340,A. rubrum,.,.,.,.,.,y,gone,,,
36,W,4,4740,Q. rubra,.,.,.,.,.,y,,,,
36,W,6,4341,A. rubrum,.,.,.,.,.,y,gone,,,
36,W,7,4140,B. lenta,.,.,.,.,.,y,,,,
36,W,8,4741,Q. rubra,.,.,.,.,.,y,,,,
36,E,3,4743,Q. rubra,.,.,.,.,.,y,,,,
36,E,4,4143,B. lenta,.,.,.,.,.,y,,,,
36,E,5,4742,Q. rubra,.,.,.,.,.,y,,,,
36,E,6,4342,A. rubrum,.,.,.,.,.,y,gone,,,
36,E,7,4142,B. lenta,.,.,.,.,.,y,no tag but probably dead,,,
36,E,8,4343,A. rubrum,.,.,.,.,.,y,gone,,,
40,W,1,4145,B. lenta,.,.,.,.,152,,"resprout, missed phenology",,,
40,W,2,4144,B. lenta,115,121,121,127,139,,,,,
40,W,4,4744,Q. rubra,111,.,115,115,.,,"127- leaves all dry. 139- new rspt, 1 bud, 3 leaves unfolded",,,
40,W,5,4745,Q. rubra,124,.,127,130,160,m,look at base,,,
40,W,7,4344,A. rubrum,.,.,.,.,.,y,gone,,,
40,W,8,4345,A. rubrum,.,.,.,.,.,y,gone,,,
40,E,1,4746,Q. rubra,135,.,135,137,142,,,,,
40,E,2,4146,B. lenta,107,109,111,111,121,,,,,
40,E,4,4346,A. rubrum,.,.,.,.,.,y,,,,
40,E,5,4147,B. lenta,107,109,111,111,135,,,,,
40,E,7,4747,Q. rubra,.,.,.,.,.,y,dug up,,,
40,E,8,4347,A. rubrum,.,.,.,.,.,y,tiny chewed stump,,,
41,W,3,4148,B. lenta,.,.,.,.,152,,"chewed stump, missed phenology on resprout",,,
41,W,4,4749,Q. rubra,.,.,,,,y,,,,
41,W,5,4149,B. lenta,121,.,135,139,160,,"chewed stump, resprout",,,
41,W,6,4349,A. rubrum,.,.,.,.,.,y,gone,,,
41,W,7,4748,Q. rubra,.,.,.,.,.,y,gone,,,
41,W,8,4348,A. rubrum,.,.,.,.,.,y,gone,,,
41,E,1,4750,Q. rubra,135,.,137,137,160,,"chewed stump, 2 buds at bottom. 150- vole just came through, 1 leaf remaining",,,
41,E,2,4751,Q. rubra,115,.,121,127,152,,,,,
41,E,3,4350,A. rubrum,107,111,111,115,152,,,,,
41,E,4,4150,B. lenta,121,121,121,124,132,,,,,
41,E,5,4351,A. rubrum,117,117,121,121,150,,,,,
41,E,7,4151,B. lenta,124,135,127,135,150,,look halfway up tree,,,
42,W,1,4152,B. lenta,.,.,.,.,.,y,,,,
42,W,2,4752,Q. rubra,.,.,.,.,.,y,,,,
42,W,4,4353,A. rubrum,.,.,.,.,.,y,gone,,,
42,W,5,4753,Q. rubra,.,.,.,.,.,y,,,,
42,W,6,4352,A. rubrum,107,111,109,109,124,,,,,
42,W,7,4153,B. lenta,139,.,142,146,165,,,,,
42,E,2,4154,B. lenta,.,.,.,.,.,y,,,,
42,E,3,4355,A. rubrum,144,.,144,150,165,,,,,
42,E,5,4755,Q. rubra,135,.,135,137,163,,tiny chewed stump. Resprout,,,
42,E,6,4155,B. lenta,142,.,142,146,160,,,,,
42,E,7,4754,Q. rubra,.,.,.,.,.,y,gone,,,
42,E,8,4354,A. rubrum,135,.,146,150,163,,bud at base,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
