BACE 2013 herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
11,Capsella bursa-pastoris ,,,,,,,,,
11,Cerastium fontanum ,,,,,127,143,179,,
11,Conyza canadensis,,,,,,,,,
11,Dactylis glomerata ,,,134,,150,,179,,
11,Draba verna ,,,,,,,,,
11,Elymus repens ,,,,,,,,,
11,Erigeron annuus ,,,,,,,,,
11,Festuca spp. ,,,,,,,,,
11,Linaria vulgaris,,,,,300,,,,
11,Oenothera biennis,,,,,,,,,
11,Oxalis stricta ,,,,134,,143,179,,
11,Phleum pratense ,,,,,,,,,
11,Plantago lanceolata ,,,,,,,,,
11,Poa trivialis,15,,127,143,150,,179,,
11,Potentilla argentea ,,,,,,,,,
11,Rumex crispus ,,,,,,,,,
11,Setaria glauca,,,,,,,<300,,
11,Silene alba ,,,,,,,,,
11,Tanacetum vulgare ,,,179,,,,,,
11,Taraxacum officinale ,,,,,,,,,
11,Trifolium pratense ,,,,,,,,,
11,Trifolium repens ,,,,,,,,,
11,Veronica arvensis ,3,,,127,,,179,,
11,Setaria viridens,,,,,,,,,
11,,,,,,,,,,
11,,,,,,,,,,
12,Achillea millefolium,1,,128,,179,,<300,,
12,Asclepias syriaca ,,15,143,,179,,<300,,
12,Berteroa incana,,,,,,,,,
12,Capsella bursa-pastoris ,,,,,,,,,
12,Cerastium fontanum ,,,,150,,,179,,
12,Conyza canadensis,,,,,,,,,
12,Dactylis glomerata ,,,134,150,,,<300,,
12,Draba verna ,1,,,112,,119,<300,,
12,Elymus repens ,,,,,,,,,
12,Erigeron annuus ,,,,,,,,,
12,Festuca spp. ,3,,143,,,,<300,,
12,Linaria vulgaris,,,,,,,,,
12,Oenothera biennis,,,,,,,,,
12,Oxalis stricta ,,,,,,,,,
12,Phleum pratense ,,,,,,,,,
12,Plantago lanceolata ,,,134,143,150,,179,,
12,Poa trivialis,,,,143,150,,179,,
12,Potentilla argentea ,,,,,,,,,
12,Rumex crispus ,,2,143,,,,179,,
