JULIAN DAY,TIME,Plot,air,7.5,aa
1,500,6,-2.0061,3.8332,
1,500,7,1.7295,4.4839,
1,500,8,0.68045,-8.7424,
1,500,9,-5.7643,3.9681,
1,500,10,1.9963,4.0934,
1,500,11,0.1798,2.3526,
1,500,12,4.2094,6.0761,
1,500,13,0.81083,6.7718,
1,500,14,0.88962,3.127,
1,500,15,2.3104,2.2941,
1,500,16,-3.1309,3.4515,
1,500,17,,,
1,500,18,-10.116,4.438,
1,500,19,-1.0573,3.6023,
1,500,20,-2.5619,3.8228,
1,515,1,1.8716,3.4796,
1,515,2,-5.0158,3.8341,
1,515,3,-2.4046,4.3244,
1,515,4,,5.3002,
1,515,5,,4.1269,
1,515,6,-2.0418,3.7994,
1,515,7,1.6838,4.4504,
1,515,8,0.64618,-8.8142,
1,515,9,-5.7929,3.9295,
1,515,10,1.9604,4.0559,
1,515,11,0.1488,2.3192,
1,515,12,4.1779,6.049,
1,515,13,0.79086,6.7589,
1,515,14,0.86246,3.0928,
1,515,15,2.281,2.2614,
1,515,16,-3.2266,3.4193,
1,515,17,,,
1,515,18,-10.189,4.4076,
1,515,19,-1.2871,3.5674,
1,515,20,-2.5282,3.7898,
1,530,1,1.8382,3.4441,
1,530,2,-5.0551,3.8005,
1,530,3,-2.4518,4.2878,
1,530,4,,5.2693,
1,530,5,,4.0894,
1,530,6,-2.0436,3.7651,
1,530,7,1.6443,4.4184,
1,530,8,0.62893,-8.6998,
1,530,9,-5.8717,3.8968,
1,530,10,1.9257,4.0181,
1,530,11,0.12975,2.2909,
1,530,12,4.1452,6.0232,
1,530,13,0.76714,6.742,
1,530,14,0.82956,3.0564,
1,530,15,2.2491,2.2258,
1,530,16,-3.1275,3.3823,
1,530,17,,,
1,530,18,-10.417,4.3758,
1,530,19,-1.1878,3.5295,
1,530,20,-2.6414,3.7515,
1,545,1,1.8054,3.4072,
1,545,2,-5.0239,3.7638,
1,545,3,-2.4367,4.2512,
1,545,4,,5.2361,
1,545,5,,4.0569,
1,545,6,-2.0409,3.7355,
1,545,7,1.6094,4.3912,
1,545,8,0.61085,-8.6425,
1,545,9,-5.8204,3.8723,
1,545,10,1.9043,3.9843,
1,545,11,0.11957,2.2687,
1,545,12,4.1173,5.9992,
1,545,13,0.75001,6.7286,
1,545,14,0.80455,3.0242,
1,545,15,2.2177,2.1974,
1,545,16,-3.2068,3.3503,
1,545,17,,,
1,545,18,-10.278,4.3468,
1,545,19,-1.0827,3.4981,
1,545,20,-2.6187,3.7198,
1,600,1,1.7787,3.3687,
1,600,2,-4.9109,3.7274,
1,600,3,-2.4423,4.2139,
1,600,4,,5.2014,
1,600,5,,4.0244,
1,600,6,-2.0274,3.7035,
1,600,7,1.5772,4.364,
1,600,8,0.59305,-8.6338,
1,600,9,-5.73,3.8422,
1,600,10,1.8826,3.9498,
1,600,11,0.10923,2.2479,
1,600,12,4.0872,5.9744,
1,600,13,0.73241,6.7157,
1,600,14,0.78023,2.9939,
1,600,15,2.1899,2.1728,
1,600,16,-3.1447,3.3173,
1,600,17,,,
1,600,18,-10.156,4.3177,
1,600,19,-1.1941,3.4646,
1,600,20,-2.6454,3.6873,
