year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,, , 
8,3,6,159,4,3,4,,,,3.5,3.5,,,
8,3,6,170,4,3,4,5,6,,4.5,5.25,,,
8,3,6,175,4,3,4,5,6,,4.5,4.25,,,
8,3,6,180,4,6,,,,,6,6,,,
8,3,6,136,5,0,,,,,0,0,,,
8,3,6,146,5,1,3,,,,2,2.25,,,
8,3,6,153,5,2,3,4,,,3,3.25,,,
8,3,6,159,5,3,4,,,,3.5,3.75,,,
8,3,6,170,5,3,4,5,6,,4.5,4.75,,,
8,3,6,175,5,3,4,5,6,,4.5,3.75,,,
8,3,6,180,5,6,,,,,6,6,,,
8,3,7,136,1,1,2,,,,1.5,1.25,,,
8,3,7,146,1,3,4,,,,3.5,3.5,,,
8,3,7,153,1,3,4,5,,,4,4.25,,,
8,3,7,159,1,3,4,5,6,,4.5,3.75,,,
8,3,7,170,1,6,,,,,6,6,,,
8,3,7,136,2,1,2,,,,1.5,1.25,,,
8,3,7,146,2,3,4,,,,3.5,3.25,,,
8,3,7,153,2,3,4,,,,3.5,3.75,,,
8,3,7,159,2,4,5,6,,,5,4.5,,,
8,3,7,170,2,6,,,,,6,6,,,
8,3,7,136,3,1,,,,,1,1,,,
8,3,7,146,3,1,2,3,4,,2.5,3.5,,,
8,3,7,153,3,3,4,,,,3.5,3.5,,,
8,3,7,159,3,3,4,,,,3.5,3.25,,,
8,3,7,170,3,3,4,5,,,4,3.75,,,
8,3,7,175,3,6,,,,,6,6,,,
8,3,7,136,4,1,,,,,1,1,,,
8,3,7,146,4,1,2,3,,,2,2.25,,,
8,3,7,153,4,3,4,,,,3.5,3.5,,,
8,3,7,159,4,3,4,,,,3.5,3.5,,,
8,3,7,170,4,3,4,5,6,,4.5,5.25,,,
8,3,7,175,4,6,,,,,6,6,,,
8,3,7,136,5,1,2,,,,1.5,1.25,,,
8,3,7,146,5,1,2,3,4,,2.5,2.25,,,
8,3,7,153,5,3,4,5,,,4,4.5,,,
8,3,7,159,5,3,4,5,6,,4.5,3.75,,,
8,3,7,170,5,3,4,5,6,,4.5,5.25,,,
8,3,7,175,5,6,,,,,6,6,,,
8,3,8,136,1,0,,,,,0,0,,,
8,3,8,146,1,1,2,3,,,2,2.25,,,
8,3,8,153,1,3,4,,,,3.5,3.5,,,
8,3,8,159,1,3,4,,,,3.5,3.75,,,
8,3,8,170,1,3,6,,,,4.5,3.75,,,
8,3,8,175,1,6,,,,,6,6,,,
8,3,8,136,2,0,,,,,0,0,,,
8,3,8,146,2,1,2,3,,,2,2.75,,,
8,3,8,153,2,3,,,,,3,3,,,
8,3,8,159,2,3,,,,,3,3,,,
