"site","block","plot","temptreat","target","reported","temptreat_units","preciptreat","preciptreat_amt","preciptreat_units"
"exp14","105","105-high","2",3,1.38,"C",NA,NA,NA
"exp14","105","105-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","249","249-control","0",NA,NA,NA,NA,NA,NA
"exp14","249","249-high","2",3,1.38,"C",NA,NA,NA
"exp14","249","249-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","262","262-control","0",NA,NA,NA,NA,NA,NA
"exp14","262","262-high","2",3,1.38,"C",NA,NA,NA
"exp14","262","262-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","295","295-control","0",NA,NA,NA,NA,NA,NA
"exp14","295","295-high","2",3,1.38,"C",NA,NA,NA
"exp14","295","295-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","64","64-control","0",NA,NA,NA,NA,NA,NA
"exp14","64","64-high","2",3,1.38,"C",NA,NA,NA
"exp14","64","64-low","1",1.5,0.78,"C",NA,NA,NA
"exp14","78","78-control","0",NA,NA,NA,NA,NA,NA
"exp14","78","78-high","2",3,1.38,"C",NA,NA,NA
"exp14","78","78-low","1",1.5,0.78,"C",NA,NA,NA
"exp15",NA,"e2","1",2,1.8,"C",NA,NA,NA
"exp15",NA,"e4","2",4,3.4,"C",NA,NA,NA
"exp15",NA,"amb","0",NA,NA,NA,NA,NA,NA
