year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
7,2,5,149,2,1,2,,,,1.5,1.25,
7,2,5,155,2,1,2,3,,,2,2,
7,2,5,162,2,1,2,3,4,,2.5,3,
7,2,5,169,2,1,2,3,4,,2.5,3.5,
7,2,5,176,2,3,4,5,,,4,4.25,
7,2,5,184,2,5,6,,,,5.5,5.5,
7,2,5,190,2,6,,,,,6,6,
7,2,5,141,3,0,,,,,0,0,
7,2,5,149,3,1,,,,,1,1,
7,2,5,155,3,1,2,3,4,,2.5,2,
7,2,5,162,3,1,2,4,,,2.333333333,3,
7,2,5,169,3,1,2,4,5,,3,3.75,
7,2,5,176,3,3,4,5,6,,4.5,4.75,
7,2,5,184,3,4,5,6,,,5,5,
7,2,5,190,3,6,,,,,6,6,
7,2,5,141,4,0,,,,,0,0,
7,2,5,149,4,1,,,,,1,1,
7,2,5,155,4,1,2,3,4,,2.5,2.25,
7,2,5,162,4,1,2,4,,,2.333333333,3.25,
7,2,5,169,4,2,3,4,5,,3.5,3.75,
7,2,5,176,4,3,4,5,6,,4.5,4,
7,2,5,184,4,5,6,,,,5.5,5.75,
7,2,5,190,4,6,,,,,6,6,
7,2,5,141,5,0,,,,,0,0,
7,2,5,149,5,1,2,,,,1.5,1.25,
7,2,5,155,5,1,2,,,,1.5,1.5,
7,2,5,162,5,1,2,,,,1.5,1.5,
7,2,5,169,5,1,2,4,,,2.333333333,2,
7,2,5,176,5,1,2,3,4,5,3,3.75,
7,2,5,184,5,4,5,6,,,5,5,
7,2,5,190,5,6,,,,,6,6,
7,2,7,149,1,0,,,,,0,0,
7,2,7,155,1,1,,,,,1,1,
7,2,7,162,1,1,2,,,,1.5,1.25,
7,2,7,169,1,1,2,3,4,,2.5,2.5,
7,2,7,176,1,2,3,4,5,,3.5,3.75,
7,2,7,184,1,5,6,,,,5.5,5.5,
7,2,7,190,1,6,,,,,6,6,
7,2,7,149,2,0,,,,,0,0,
7,2,7,155,2,1,,,,,1,1,
7,2,7,162,2,1,2,3,,,2,1.75,
7,2,7,169,2,1,2,3,4,,2.5,2.5,
7,2,7,176,2,2,3,4,5,,3.5,3.5,
7,2,7,184,2,5,,,,,5,5,
7,2,7,190,2,6,,,,,6,6,
7,2,7,149,3,0,,,,,0,0,
7,2,7,155,3,1,,,,,1,1,
7,2,7,162,3,1,2,,,,1.5,1.5,
7,2,7,169,3,1,2,3,4,,2.5,2.75,
7,2,7,176,3,2,3,4,5,,3.5,3.5,
7,2,7,184,3,3,4,5,,,4,4.5,
7,2,7,190,3,6,,,,,6,6,
7,3,5,162,1,1,2,3,,,2,1.75,
7,3,5,183,1,3,4,,,,3.5,3.25,
7,3,5,191,1,3,6,,,,4.5,4.5,
7,3,5,198,1,6,,,,,6,6,
7,3,5,162,2,1,2,,,,1.5,1.5,
7,3,5,183,2,3,4,5,6,,4.5,4.75,
7,3,5,191,2,3,5,6,,,4.666666667,5.5,
7,3,5,198,2,6,,,,,6,6,
7,3,7,151,1,0,,,,,0,0,
7,3,7,156,1,1,2,,,,1.5,1.25,
7,3,7,162,1,1,2,,,,1.5,1.5,
7,3,7,170,1,1,2,3,4,,2.5,2.25,
7,3,7,177,1,3,4,,,,3.5,3.5,
7,3,7,183,1,3,4,5,6,,4.5,5.25,
7,3,7,191,1,5,6,,,,5.5,5.5,
7,3,7,198,1,6,,,,,6,6,
7,3,7,151,2,0,,,,,0,0,
7,3,7,156,2,1,2,,,,1.5,1.25,
7,3,7,162,2,1,2,3,4,,2.5,2,
7,3,7,170,2,1,2,3,4,,2.5,2,
7,3,7,177,2,3,4,5,,,4,4,
7,3,7,183,2,3,5,6,,,4.666666667,5.25,
7,3,7,191,2,6,,,,,6,6,
7,3,7,151,3,0,,,,,0,0,
7,3,7,156,3,1,2,,,,1.5,1.25,
7,3,7,162,3,1,2,3,4,,2.5,2,
7,3,7,170,3,1,2,3,4,,2.5,2.5,
7,3,7,177,3,3,4,5,,,4,4,
7,3,7,183,3,3,4,5,6,,4.5,5,
7,3,7,191,3,6,,,,,6,6,
7,3,7,151,4,0,,,,,0,0,
7,3,7,156,4,1,,,,,1,1,
7,3,7,162,4,1,2,3,4,,2.5,2.25,
7,3,7,170,4,1,2,3,4,,2.5,3,
7,3,7,177,4,3,4,,,,3.5,3.75,
7,3,7,183,4,3,4,5,6,,4.5,5,
