year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
8,4,3,236,5,1,2,,,,1.5,1.5
8,4,3,244,5,1,2,3,,,2,2.5
8,4,3,251,5,3,4,,,,3.5,3.75
8,4,3,257,5,4,5,,,,4.5,4.25
8,4,4,222,1,1,,,,,1,1
8,4,4,231,1,1,2,,,,1.5,1.75
8,4,4,236,1,1,2,,,,1.5,1.75
8,4,4,244,1,1,2,3,,,2,2.25
8,4,4,251,1,4,5,,,,4.5,4.5
8,4,4,257,1,4,5,,,,4.5,4.75
8,4,4,222,2,1,,,,,1,1
8,4,4,231,2,1,2,,,,1.5,1.25
8,4,4,236,2,1,2,,,,1.5,1.75
8,4,4,244,2,1,2,3,,,2,2.25
8,4,4,251,2,4,5,,,,4.5,4.75
8,4,4,257,2,4,5,,,,4.5,4.75
8,4,4,222,3,1,,,,,1,1
8,4,4,231,3,2,,,,,2,2
8,4,4,236,3,1,2,3,,,2,2.25
8,4,4,244,3,3,4,,,,3.5,3.5
8,4,4,251,3,4,5,6,,,5,5.25
8,4,4,257,3,5,6,,,,5.5,5.75
8,4,4,222,4,1,,,,,1,1
8,4,4,231,4,1,2,,,,1.5,1.75
8,4,4,236,4,2,,,,,2,2
8,4,4,244,4,3,4,,,,3.5,3.5
8,4,4,251,4,4,5,,,,4.5,4.25
8,4,4,257,4,4,5,,,,4.5,4.75
8,4,4,222,5,1,,,,,1,1
8,4,4,231,5,1,2,,,,1.5,1.75
