site,genus,species,scrub.genus,scrub.species,sev.code,scrub_round
kochmer,Phlox,nivalis,Phlox,nivalis,na,2
kochmer,Phlox,pyramidalis,Phlox,maculata,na,2
kochmer,Phlox,stolonifera,Phlox,stolonifera,na,2
konza,Phyla,americana,na,na,na,1
kochmer,Phyllanthus,caroliniensis,Phyllanthus,caroliniensis,na,2
bertel,Physalis,hederifolia,Physalis,hederifolia,na,1
sev,Physalis,hederifolia,Physalis,hederifolia,PHHEF,1
kochmer,Physalis,maritima,Physalis,walteri,na,2
bertel,Physalis,solanacea,Physalis,solanacea,na,2
fargo,Physaria ,brassicoides,Physaria ,brassicoides,na,1
sev,Picradeniopsis,woodhousei,Achyropappus ,woodhouse,PIWO,1
kochmer,Pilea,fontana,Pilea,fontana,na,2
washdc,Pinus,virginiana,Pinus,virginiana,na,2
bertel,Piptochaetium,pringlei,Piptochaetium,pringlei,na,2
kochmer,Plagiobothrys,figuratus,Plagiobothrys,figuratus,na,2
concord,Plantago,rugelli,Plantago,rugelii  ,na,1
arnell,Platanthera,bifollia,Platanthera,bifolia,na,1
kochmer,Pluchea,foetida,Pluchea,foetida,na,2
gothic,Pneumonanthe,parryi,Gentiana,parryi,na,2
kochmer,Podophyllum,P.peltatum,Podophyllum ,peltatum,na,1
concord,Pogonia ,ophioglossiodes,Pogonia ,ophioglossoides,na,1
fargo,Polanisia,graveolens,Polanisia,dodecandra,na,2
arnell,Polemoniom,caeruleum,Polemonium,caeruleum,na,1
soederm,Polemonium,sp.,Polemonium,NA,na,1
concord,Polgonella,articulata,Polygonella,articulata,na,1
kochmer,Polygala,cymosa,Polygala,cymosa,na,2
kochmer,Polygala,incarnata,Polygala,incarnata,na,2
kochmer,Polygala,mariana,Polygala,mariana,na,2
kochmer,Polygala,sanguina,Polygala ,sanguinea,na,1
concord,Polygala,sanguinea,Polygala,sanguinea,na,2
fitter,Polygala,serpyllifolia,Polygala,serpyllifolia,na,2
concord,Polygonum,arifolium,Polygonum,arifolium,na,2
concord,Polygonum,caryeyi,Polygonum,careyi  ,na,1
concord,Polygonum,cristatum,Polygonum,scandens,na,2
concord,Polygonum,cuspidatum,Polygonum,cuspidatum,na,2
luquillo,polypodium,piloselloides,na,na,na,1
kochmer,Poncirus,trifoliata,Poncirus,trifoliata,na,1
concord,Pontedaria,cordata,Pontederia,cordata,na,1
washdc,Populus,canescens,Populus,canescens,na,2
fitter,Populus,x canescens,Populus,canescens,na,1
washdc,Porteranthus,trifoliatus,Porteranthus,trifoliatus,na,2
kochmer,Potentilla,norvegia,Potentilla ,norvegica,na,1
fargo,Potentilla,paradoxa,Potentilla,paradoxa,na,2
fargo,Potentilla,pennsylvanica,Potentilla,pensylvanica,na,2
soederm,Potentilla,sp.,Potentilla,NA,na,1
fitter,Potentilla,sterilis,Potentilla,sterilis,na,2
washdc,Poterium,sanguisorba,Sanguisorba,minor,na,2
kochmer,Prenanthes,autumnalis,Prenanthes,autumnalis,na,2
kochmer,Prenanthes,pallida,Prenanthes,alba,na,1
kochmer,Prenanthes,roanensis,Prenanthes,roanensis,na,2
kochmer,Prenanthes,serpentaria,Prenanthes,serpentaria,na,2
concord,Prenanthes,serpentaria,Prenanthes,serpentaria,na,2
concord,Prenanthes,trifoliata,Prenanthes,trifoliolata,na,1
concord,Prenanthes,virgatum,Prenanthes,na,na,1
bertel,Prosopsis,velutina,Prosopis,velutina,na,1
konza,Prunus,americanus,Prunus,americana,na,1
concord,Prunus,nigra (america?),Prunus,na,na,1
fargo,Prunus,pennsylvanica,Prunus ,pensylvanica,na,1
washdc,Prunus,subhirtella,Prunus,subhirtella,na,2
concord,Prunus,susquehanae,Prunus,pumila,na,2
kochmer,Prunus,susquehnae,Prunus ,pumila,na,1
gothic,Pseudocymopterus,montanus,Pseudocymopterus,montanus,na,2
fitter,Pseudofumaria,lutea,Pseudofumaria,lutea,na,2
bertel,Pseudognaphalium,canescens,Pseudognaphalium,canescens,na,2
bertel,Pseudognaphalium,macounii,Pseudognaphalium,macounii,na,2
bertel,Pseudognaphalium,pringlei,Pseudognaphalium,pringlei,na,2
bertel,Psilostrophe,cooperi,Psilostrophe,cooperi,na,2
konza,Psoralea,agrophylla,Psoralea,argophylla,na,1
kochmer,Psoralea,canescens,Pediomelum,canescens,na,2
fargo,Psoralea,lanceolata,Psoralidium,lanceolatum,na,2
kochmer,Psoralea,lupinellus,Psoralea,lupinellus,na,2
kochmer,Psoralea,macrophylla,Orbexilum,macrophyllum,na,2
kochmer,Psoralea,onobrychis,Orbexilum,onobrychis,na,2
konza,Psoralea,tenuiflora,Psoralidium,tenuiflorum,na,2
luquillo,psychotria,berteriana,psychotria,berteroana,na,1
kochmer,Ptilimnium,capillaceum,Ptilimnium,capillaceum,na,2
fargo,Puccinellia,airoides,Puccinellia,nuttalliana,na,2
gunnar,Pulmonaria,obscura,Pulmonaria,obscura,na,2
arnell,Pulmonaria,obscura,Pulmonaria,obscura,na,2
gunnar,Pulsatilla,vernalis,Pulsatilla,vernalis,na,2
kochmer,Pycnanthemum,flexuosum,Pycnanthemum,tenuifolium,na,2
kochmer,Pycnanthemum,montanum,Pycnanthemum,montanum,na,2
kochmer,Pycnanthemum,setosum,Pycnanthemum,setosum,na,2
kochmer,Pycnanthemum,virginianum,Pycnanthemum,virginianum,na,2
fargo,Pycnanthemum,virginianum,Pycnanthemum,virginianum,na,2
concord,Pycnanthemum,virginianum,Pycnanthemum,virginianum,na,2
fargo,Pyrethrum ,coccineum,Pyrethrum ,coccineum,na,1
kochmer,Pyrola,americana,Pyrola,americana,na,2
concord,Pyrola,virens,Pyrola,chlorantha,na,2
concord,Pyrus,floribunda,Photinia,floribunda,na,2
concord,Pyrus,melanocarpa,Photinia,melanocarpa,na,2
fargo,Pyrus ,communis,Pyrus ,communis,na,1
washdc,Quercus,borealis,Quercus,rubra,na,2
bertel,Quercus,hypoleucoides,Quercus,hypoleucoides,na,2
washdc,Quercus,michauxii,Quercus,michauxii,na,2
konza,Quercus,muehlenbergii,Quercus,muehlenbergii,na,2
bertel,Rafinesquia,californica,Rafinesquia,californica,na,2
kochmer,Ranunculus,ambigens,Ranunculus,ambigens,na,2
kochmer,Ranunculus,flabellaris,Ranunculus,flabellaris,na,2
fargo,Ranunculus,flabellaris,Ranunculus,flabellaris,na,2
concord,Ranunculus,flabellaris,Ranunculus,flabellaris,na,2
kochmer,Ranunculus,laxicaulis,Ranunculus,laxicaulis,na,2
fargo,Ranunculus,macounii,Ranunculus,macounii,na,2
fargo,Ranunculus,rhomboideus,Ranunculus,rhomboideus,na,2
soederm,Ranunculus,sp.,Ranunculus,NA,na,1
concord,Raphanus ,raphanistrum,Raphanus ,raphanistrum,na,1
concord,Raphanus ,sativus,Raphanus ,sativus,na,1
fitter,Rhamnus,catharticus,Rhamnus,cathartica,na,1
concord,Rhamnus,fragularia,Rhamnus,frangula,na,1
bertel,Rhamnus,ilicifolia,Rhamnus,ilicifolia,na,2
fargo,Rheum,L.,Rheum,na,na,1
washdc,Rheum,rhabarbarum,Rheum,rhabarbarum,na,2
soederm,Rhinanthus,sp.,Rhinanthus,NA,na,1
kochmer,Rhododendron,alabamense,Rhododendron,alabamense,na,2
washdc,Rhododendron,atlanticum,Rhododendron,atlanticum,na,2
kochmer,Rhododendron,atlanticum,Rhododendron,atlanticum,na,2
concord,Rhododendron,canadense,Rhododendron,canadense,na,2
kochmer,Rhododendron,canescens,Rhododendron,canescens,na,2
kochmer,Rhododendron,catawbiense,Rhododendron,catawbiense,na,2
kochmer,Rhododendron,menziesia,Rhododendron,na,na,1
kochmer,Rhododendron,minus,Rhododendron,minus,na,2
mohonk,Rhododendron,nudiÌÙorum,Rhododendron,nudiflorum,na,1
washdc,Rhododendron,periclymenoides,Rhododendron,periclymenoides,na,2
washdc,Rhododendron,prinophyllum,Rhododendron,prinophyllum,na,2
kochmer,Rhododendron,roscum,Rhododendron ,roseum,na,1
washdc,Rhododendron,roseum,Rhododendron,prinophyllum,na,2
concord,Rhododendron,roseum,Rhododendron,prinophyllum,na,2
kochmer,Rhododendron,vaseyi,Rhododendron,vaseyi,na,2
mohonk,Rhododendrum,indicum,Rhododendron,indicum,na,1
arnell,Rhododendrum,tomentosum,Rhododendron,tomentosum,na,1
washdc,Rhus,vernix,Toxicodendron,vernix,na,2
concord,Rhus,vernix,Toxicodendron,vernix,na,2
kochmer,Rhynchosia,difformis,Rhynchosia,difformis,na,2
kochmer,Rhynchosia,reniformis,Rhynchosia,reniformis,na,2
fargo,Ribes,hirtellum ,Ribes ,hirtellum,na,1
concord,Ribes,odoratum,Ribes,aureum,na,2
kochmer,Ribes,rotundifloium,Ribes ,rotundifolium,na,1
concord,Ribes,sativum,Ribes,rubrum,na,2
fargo,Ribes,setosus,Grossularia ,setosa,na,1
gunnar,Ribes,sp.,Ribes,NA,na,1
gunnar,Ribes,uvacrispa,Ribes,uva-crispa,na,1
fargo,Ribes ,americanum,Ribes ,americanum,na,1
fargo,Ribes ,missouriense ,Grossularia ,missouriensis,na,1
fargo,Ribes ,odoratum,Ribes ,odoratum,na,1
fargo,Ribes ,vulgare,Ribes ,rubrum,na,1
kochmer,Robinia,elliottii,Robinia,hispida,na,2
kochmer,Robinia,nana,Robinia,hispida,na,2
fargo,Robinia,pseudoacacia ,Robinia ,pseudoacacia,na,1
concord,Roripa,officinalis,Rorippa,officinalis,na,1
fargo,Rorippa,armoracia,Armoracia,rusticana,na,2
fargo,Rorippa,austriaca,Rorippa ,austriaca,na,1
kochmer,Rorippa,sessiliflora,Rorippa,sessiliflora,na,2
fargo,Rorippa,sinuata,Rorippa,sinuata,na,2
kochmer,Rorippa,sylvestris,Rorippa,sylvestris,na,2
concord,Rorippa,sylvestris,Rorippa,sylvestris,na,2
kochmer,Rorippa,walteri,Rorippa,teres,na,2
washdc,Rosa,palustris,Rosa,palustris,na,2
kochmer,Rosa,palustris,Rosa,palustris,na,2
concord,Rosa,palustris,Rosa,palustris,na,2
arnell,Rosa,sp.,Rosa,NA,na,1
soederm,Rosa,x centifolia,Rosa,centifolia,na,1
washdc,Rubus,enslenii,Rubus,flagellaris,na,2
fargo,Rubus ,strigosus,Rubus ,strigosus,na,1
fargo,Rudbeckia,serotina,Rudbeckia,hirta,na,2
concord,Rudbeckia,serotina,Rudbeckia,hirta,na,2
kochmer,Ruellia,caroliensis,Ruellia,caroliniensis,na,1
fargo,Rumex,persicarioides,Rumex,maritimus,na,2
fargo,Rumex,venosus,Rumex,venosus,na,2
fargo,Salix,interior,Salix,interior,na,2
fargo,Salix ,interior,Salix ,interior,na,1
kochmer,Salpichroa,origanofolia,Salpichroa,origanifolia,na,1
washdc,Salvia,verbenacea,Salvia,verbenaca,na,1
kochmer,Samolus,parviflorus,Samolus,valerandi,na,2
kochmer,Sanguineria,canadensis,Sanguinaria ,canadensis,na,1
fargo,Sanicula,marylandica,Sanicula,marylandica,na,2
sev,Sanvitalia,abertii,Sanvitalia,aberti,SAAB,1
fargo,Saponaria,vaccaria,Vaccaria,hispanica,na,2
bertel,Sarcostemma,crispum,Funastrum,crispum,na,2
bertel,Sarcostemma,cynanchoides,Funastrum,cynanchoides,na,2
kochmer,Satureja,nepeta,Satureja,nepeta,na,1
washdc,Satureja,nepeta,Calamentha,nepeta,na,1
soederm,Saxifraga,bridactylites,Saxifraga,tridactylites,na,1
kochmer,Saxifraga,careyana,Saxifraga,careyana,na,2
kochmer,Saxifraga,caroliniana,Saxifraga,caroliniana,na,2
bertel,Saxifraga,eriophora,Saxifraga,eriophora,na,2
kochmer,Saxifraga,michauxii,Saxifraga,michauxii,na,2
kochmer,Saxifraga,micranthidifolia,Saxifraga,micranthidifolia,na,2
fargo,Schedonnardus,paniculatus,Schedonnardus,paniculatus,na,2
kochmer,Schisandra,glabra,Schisandra,glabra,na,2
bertel,Schismus,arabicus,Schismus,arabicus,na,2
arnell,Schoenoplectus,maritimus,Schoenoplectus,maritimus,na,2
soederm,Scilla,amoena,Scilla,amoena,na,2
fargo,Scilla,siberica(old lot),Othocallis ,siberica,na,1
fargo,Scilla ,siberica(new lot),Othocallis ,siberica,na,1
fargo,Scirpus,fluviatilis,Schoenoplectus,fluviatilis,na,2
fargo,Scirpus,heterochaetus,Schoenoplectus,heterochaetus,na,2
washdc,Scirpus,validus,Schoenoplectus,tabernaemontani,na,2
fargo,Scirpus,validus,Schoenoplectus,tabernaemontani,na,2
kochmer,Sclerolepis,uniflora,Sclerolepis,uniflora,na,2
fargo,Scolochloa,festucacea,Scolochloa,festucacea,na,2
sev,Scorzonera,lacinata,Scorzonera,laciniata,SCLA6,1
concord,Scrophularia,lanceolata,Scrophularia,lanceolata,na,2
bertel,Scrophularia,parvivlora,Scrophularia,parviflora,na,1
kochmer,Scutellaria,incana,Scutellaria,incana,na,2
concord,Scutellaria,laterifolia,Scutellaria,lateriflora  ,na,1
bertel,Sedum,cockerellii,Sedum,cockerellii,na,2
kochmer,Sedum,pusillum,Sedum,pusillum,na,2
kochmer,Sedum,rosea,Rhodiola,rosea,na,2
gothic,Sedum,rosea,Rhodiola,rosea,na,2
concord,Sedum,telephiodes,Sedum,telephioides  ,na,1
washdc,Senecio,crawfordii,Packera,paupercula,na,2
kochmer,Senecio,glabellus,Packera,glabella,na,2
bertel,Senecio,lemmoni,Senecio,lemmonii,na,1
fargo,Senecio,plattensis,Packera,plattensis,na,2
washdc,Senecio,smallii,Packera,anonyma,na,2
kochmer,Senecio,smallii,Packera,anonyma,na,2
bertel,Senna,covesii,Senna,covesii,na,2
konza,Senna,marilandica,Cassia,marilandica,na,1
concord,Sericocarpus,asteroides,Sericocarpus,asteroides,na,2
concord,Sericocarpus,linifolius,Sericocarpus,linifolius,na,2
arnell,Sesleria,caerulea,Sesleria,caerulea,na,2
kochmer,Sesuvium,maritimum,Sesuvium,maritimum,na,2
bertel,Setaria,leucopila,Setaria,leucopila,na,2
kochmer,Sibara,viginica,Sibara  ,virginica,na,1
bertel,Sida,abutifolia,Sida,abutilifolia,na,1
bertel,Sida,tragiifolia,Sida,tragiifolia,na,1
fargo,Silene,cserei,Silene ,csereii,na,1
kochmer,Silphium,dentatum,Silphium,asteriscus,na,2
kochmer,Silphium,laevigatum,Silphium,trifoliatum,na,2
bertel,Simmondsia,chinensis,Simmondsia,chinensis,na,2
kochmer,Sisymbrium,leiocarpum,Sisymbrium,leiocarpum,na,2
fargo,Sisymbrium,loeslii,Sisymbrium  ,loeselii,na,1
kochmer,Sisyrinchium,albidum,Sisyrinchium,albidum,na,2
washdc,Sisyrinchium,mucronatum,Sisyrinchium,mucronatum,na,2
concord,Sium,sauve,Sium,suave,na,1
luquillo,sloanea,berteriana,sloanea,berteroana,na,1
washdc,Smilax,pseudochina,Smilax,pseudochina,na,1
kochmer,Smilax,tamnifolia,Smilax,pseudochina,na,2
soederm,Smultron,till,Fragaria,vesca,na,1
kochmer,Solanum,sisumbriifolium,Solanum,sisymbriifolium,na,1
kochmer,Solidago,fistulosa,Solidago,fistulosa,na,2
kochmer,Solidago,microcephala,Euthamia,tenuifolia,na,2
kochmer,Solidago,pauciflosculosa,Chrysoma,pauciflosculosa,na,2
washdc,Solidago,sp.,na,na,na,1
kochmer,Solidago,sphacelata,Solidago,sphacelata,na,2
kochmer,Solidago,strictula,Solidago ,stricta,na,1
kochmer,Solidago,tenuifolia,Euthamia,tenuifolia,na,2
concord,Solidago,tenuifolia,Euthamia,tenuifolia,na,2
kochmer,Soliva,pterosperma,Soliva,sessilis,na,2
kochmer,Sorbus,arbutifolia,Photinia,pyrifolia,na,2
fargo,Sorbus,aucuparia ,Chrysobalanus ,icaco,na,1
soederm,Sorbus,intermedia,Sorbus,intermedia,na,2
arnell,Sorbus,intermedia,Sorbus,intermedia,na,2
konza,Sorgastrum,nutans,Sorghastrum,nutrans,na,1
concord,Sparganium,androcladium,Sparganium,androcladum,na,1
soederm,species_unknown,,NA,NA,na,1
kochmer,Specularia,perfiolata,Specularia ,perfoliata,na,1
concord,Specularia,perfoliata,Triodanis,perfoliata,na,2
kochmer,Spermolepis,divaricata,Spermolepis,divaricata,na,2
bertel,Spermolepis,echinata,Spermolepis,echinatus,na,1
kochmer,Spermolepis,echinata,Leptocaulis ,echinatus,na,1
fargo,Sphaeralcea,coccinea,Sphaeralcea,coccinea,na,2
bertel,Sphaeralcea,fendleri,Sphaeralcea,fendleri,na,2
kochmer,Sphenoclea,zeylandica,Sphenoclea ,zeylanica,na,1
kochmer,Spilanthes,repens,Spilanthes,repens,na,2
kochmer,Spiraea,alba,Spiraea,alba,na,2
fargo,Spiraea,alba,Spiraea,alba,na,2
concord,Spiraea,latifolia,Spiraea,alba,na,2
kochmer,Spiranthes,floridana,Spiranthes,floridana,na,2
kochmer,Spiranthes,grayi,Spiranthes,tuberosa,na,2
concord,Spiranthes,lacera,Spiranthes,lacera,na,2
kochmer,Spiranthes,laciniata,Spiranthes,laciniata,na,2
kochmer,Spiranthes,longilabris,Spiranthes,longilabris,na,2
fargo,Sporobolus,neglectus,Sporobolus,neglectus,na,2
washdc,Stachys,byzantina,Stachys,byzantina,na,2
arnell,Stellaria,nemorum,Stellaria,nemorum,na,2
bertel,Stellaria,nitens,Stellaria,nitens,na,2
kochmer,Stenathium,gramineum,Stenanthium ,gramineum,na,1
konza,Stenosiphon,linifolius,Stenosiphon,linifolius,na,2
kochmer,Stewartia,malacodendron,Stewartia,malacodendron,na,1
kochmer,Stewartia,ovata,Stewartia,ovata,na,2
kochmer,Stokesia,laevis,Stokesia,laevis,na,2
kochmer,Styrax,americana,Styrax,americana,na,2
kochmer,Styrax,grandifolia,Styrax,grandifolium,na,1
fargo,Suaeda,depressa,Suaeda,calceoliformis,na,2
fitter,Suymphytum,officinale,Symphytum,officinale,na,1
bci,swartzia,simplex ochnacea,swartzia,simplex,na,1
concord,Symphoricarpos,albus,Symphoricarpos,albus,na,2
konza,Symphyotrichum,drummondii,Symphyotrichum,drummondii,na,2
konza,Symphyotrichum,ericoides,Symphyotrichum,ericoides,na,2
konza,Symphyotrichum,laevis,Symphyotrichum,laeve,na,1
konza,Symphyotrichum,oblongifolius,Symphyotrichum,oblongifolium,na,1
konza,Symphyotrichum,sericeus,Symphyotrichum,sericeum,na,1
fitter,Symphytum,x uplandicum,Symphytum,uplandicum,na,1
kochmer,Synandria,hispidula,Synandra ,hispidula,na,1
concord,Tabacum,longiflorum,na,na,na,1
washdc,Taenidia,integerrima,Taenidia,integerrima,na,2
kochmer,Taenidia,integerrima,Taenidia,integerrima,na,2
bertel,Tagetes,lemmoni,Tagetes,lemmonii,na,1
bertel,Talinum,paniculatum,Talinum,paniculatum,na,2
fargo,Tamarix,pentandra,Tamarix,chinensis,na,2
washdc,Tanacetum,parthenium,Tanacetum,parthenium,na,2
fitter,Tanacetum,parthenium,Tanacetum,parthenium,na,2
kochmer,Taraxacum,erythrospermum,Taraxacum,laevigatum,na,2
concord,Taraxacum,erythrospermum,Taraxacum,laevigatum,na,2
gunnar,Taraxacum,sect.,Taraxacum,sect. Ruderalia,na,1
fitter,Taraxacum,sect. Erythrosperma,Taraxacum,sect. Erythrosperma,na,1
washdc,Taxodium,ascendens,Taxodium,ascendens,na,2
kochmer,Tephrosia,florida,Tephrosia,florida,na,2
fargo,Thalesia,uniflora,Orobanche,uniflora,na,2
washdc,Thalictrum,clavatum,Thalictrum,clavatum,na,2
kochmer,Thalictrum,clavatum,Thalictrum,clavatum,na,2
washdc,Thalictrum,coriaceum,Thalictrum,coriaceum,na,2
kochmer,Thalictrum,coriaceum,Thalictrum,coriaceum,na,2
concord,Thallictrum,dasycarpum,Thalictrum ,dasycarpum,na,1
concord,Thallictrum,dioicum,Thalictrum ,dioicum,na,1
concord,Thallictrum,polygamum,Thalictrum ,polygamum,na,1
kochmer,Thaspium,flavum,Thaspium,trifoliatum,na,1
washdc,Thermopsis,villosa,Thermopsis,villosa,na,2
kochmer,Thermopsis,vilosa,Thermopsis,villosa,na,1
kochmer,Thlaspi,peroliatum,Thlaspi ,perfoliatum,na,1
soederm,Tilia,parrifolia,Tilia,cordata,na,1
soederm,Tilia,x europaea,Tilia,europaea,na,1
fitter,Tilia,x vulgaris,Tilia,vulgaris,na,1
kochmer,Tillia,americana,Tilia,americana,na,1
kochmer,Tillia,caroliniana,Tilia,caroliniana,na,1
kochmer,Tillia,floridana,Tilia,floridana,na,1
kochmer,Tillia,heterophylla,Tilia,heterophylla,na,1
kochmer,Tofieldia,racemosa,Tofieldia,racemosa,na,2
fitter,Torilis,japonica,Torilis,japonica,na,2
arnell,Torilis,japonica,Torilis,japonica,na,2
concord,Trapa,natas,Trapa,natans,na,1
kochmer,Trautvetteria,carolinensis,Trautvetteria,caroliniensis,na,2
konza,Tridens,flavus,Tridens,flavus,na,2
bertel,Tridens,muticus,Tridens,muticus,na,2
concord,Trientalis,borealis,Trientalis,borealis,na,2
kochmer,Trifolium,agrarium,Trifolium,aureum,na,2
concord,Trifolium,agrarium,Trifolium,aureum,na,2
washdc,Trifolium,dubium,Trifolium,dubium,na,2
kochmer,Trifolium,dubium,Trifolium,dubium,na,2
fitter,Trifolium,dubium,Trifolium,dubium,na,2
concord,Trifolium,dubium,Trifolium,dubium,na,2
washdc,Trifolium,procumbens,Trifolium,campestre,na,2
concord,Trifolium,procumbens,Trifolium,campestre,na,2
arnell,Trifolium,spadiceum,Trifolium,spadiceum,na,2
fargo,Triglochin,maritima,Triglochin,maritima,na,2
fargo,Triglochin,palustris,Triglochin ,palustris,na,1
kochmer,Trillium,discolor,Trillium,discolor,na,2
kochmer,Trillium,lanceolatum,Trillium,lancifolium,na,2
mohonk,Trillium,undulatum,Trillium,undulatum,na,2
kochmer,Trillium,undulatum,Trillium,undulatum,na,2
concord,Trillium,undulatum,Trillium,undulatum,na,2
kochmer,Trillium,viride,Trillium,viride,na,2
concord,Trillium ,grandiflorum,Trillium ,grandiflorum,na,1
konza,Triodanis,leptocarpa,Triodanis,leptocarpa,na,1
konza,Triodanis,perfoliata,Triodanis,perfoliata,na,1
concord,Triostemum,aurantiacum,Triosteum,aurantiacum,na,1
fitter,Tripleurospernum,inodorum,Tripleurospermum,inodorum,na,1
arnell,Tripolium,vulgare,Trifolium,vulgare,na,2
bertel,Trixis,californica,Trixis,californica,na,2
soederm,Tulipa,gesneriana,Tulipa,gesneriana,na,2
gunnar,Tulipa,gesneriana,Tulipa,gesneriana,na,2
bertel,Uropappus,lindleyi,Uropappus,lindleyi,na,2
fargo,Urtica,procera,Urtica,dioica,na,2
concord,Urtica,procera,Urtica,dioica,na,2
concord,Utricularia,geminiscapa,Utricularia,geminiscapa,na,2
kochmer,Uvularia,floridana,Uvularia,floridana,na,2
concord,Uvularia,sessifolia,Uvularia,sessilifolia,na,1
fargo,Uvularia,sessifolia,Uvularia ,sessilifolia,na,1
washdc,Uvularia,sessilifolia,Uvularia,sessilifolia,na,2
kochmer,Uvularia,sessilifolia,Uvularia,sessilifolia,na,2
kochmer,Vaccinium,amoenum,Vaccinium,virgatum,na,2
kochmer,Vaccinium,constablaei,Vaccinium,corymbosum,na,2
kochmer,Vaccinium,elliottii,Vaccinium,elliottii,na,2
kochmer,Vaccinium,hirsutum,Vaccinium,hirsutum,na,2
soederm,Valeriana,sp,Valeriana,NA,na,1
konza,Verbascum,blatteria,Verbascum,blattaria,na,1
washdc,Verbena,simplex,Verbena,simplex,na,2
konza,Verbena,simplex,Verbena,simplex,na,2
konza,Verbena,urtiicifolia,Verbena,urticifolia,na,1
konza,Verbesina,alternifolia,Verbesina,alternifolia,na,2
kochmer,Verbesina,alternifolia,Verbesina,alternifolia,na,2
kochmer,Vernonia,acaulis,Vernonia,acaulis,na,2
kochmer,Vernonia,glauca,Vernonia,glauca,na,2
concord,Veronica,chaemaedrys,Veronica,chamaedrys ,na,1
soederm,Veteax,,NA,NA,na,1
mohonk,Viburnum,acerifolia,Viburnum,acerifolium,na,1
kochmer,Viburnum,alnifolium,Viburnum,lantanoides,na,2
harvard,Viburnum,alnifolium,Viburnum,lantanoides,na,2
mohonk,Viburnum,latanoides,Viburnum,lantanoides,na,1
uwm,Viburnum,sp.,Viburnum,NA,na,1
uwm,Viburnum,sp.,Viburnum,na,na,1
concord,Viburnum,trilobum,Viburnum,opulus,na,2
washdc,Vicia,dasycarpa,Vicia,villosa,na,2
kochmer,Vicia,dasycarpa,Vicia,villosa,na,2
kochmer,Vicia,hugerii,Vicia ,hugeri,na,1
arnell,Vicia,silvatica,Vicia,sylvatica,na,1
soederm,Vincetoxicum,sp.,Vincetoxicum,NA,na,1
concord,Viola,brittoniana,Viola,brittoniana,na,2
fargo,Viola,conspersa,Viola,conspersa,na,2
concord,Viola,conspersa,Viola,conspersa,na,2
washdc,Viola,fimbriatula,Viola,sagittata,na,2
concord,Viola,fimbriatula,Viola,sagittata,na,2
washdc,Viola,pensylvanica,Viola,pubescens,na,2
soederm,Viola,pumila,Viola,pumila,na,2
washdc,Viola,rafinesquei,Viola,bicolor,na,1
konza,Viola,rafinesquii,Viola,rafinesquii,na,2
fitter,Viola,reichenbachiana,Viola,reichenbachiana,na,2
fargo,Viola,rugulosa,Viola,canadensis,na,2
washdc,Viola,triloba,Viola,palmata,na,2
arnell,Viscaria,vulgaris,Lychnis,viscaria,na,2
arnell,Viscaria,vulgaris,Lychnis,viscaria,na,2
bertel,Vulpia,microstachys,Vulpia,microstachys,na,2
bertel,Vulpia,octoflora,Vulpia,octoflora,na,2
kochmer,Wisteria,frutescens,Wisteria,frutescens,na,2
washdc,Wisteria,sinensis,Wisteria,sinensis,na,2
kochmer,Wisteria,sinensis,Wisteria,sinensis,na,2
bertel,Xanthisma,gracile,Xanthisma,gracile,na,2
bertel,Xanthisma,spinulosum,Xanthisma,spinulosum,na,2
concord,Xanthorhiza,simplicissima,Xanthorhiza,simplicissima,na,1
kochmer,Xanthorhiza,simplicissima,Xanthorhiza,simplicissima,na,1
washdc,Xanthorhiza,simplicissima,Xanthorhiza,simplicissima,na,1
concord,Xanthoxylum,americanum,Zanthoxylum,americanum,na,1
kochmer,Zanthoxylum,americana,Zanthoxylum ,americanum,na,1
fargo,Zanthoxylum ,americanum,Zanthoxylum ,americanum,na,1
kochmer,Zenobia,pulverulenta,Zenobia,pulverulenta,na,2
fargo,Zephyranthes,? ,Zephyranthes,na,na,1
kochmer,Zephyranthes,simpsonii,Zephyranthes,simpsonii,na,2
kochmer,Zigadenus,densus,Zigadenus,densus,na,2
kochmer,Zigadenus,glaucus,Zigadenus,elegans,na,2
kochmer,Zigadenus,leimanthoides,Zigadenus,leimanthoides,na,1
washdc,Zizia,aurea,Zizia,aurea,na,2
konza,Zizia,aurea,Zizia,aurea,na,2
kochmer,Zizia,aurea,Zizia,aurea,na,2
fargo,Zizia,aurea,Zizia,aurea,na,2
concord,Zizia,aurea,Zizia,aurea,na,2
mikesell,Gymnocladus,dioica,Gymnocladus,dioicus,na,1
opg,Doronicum,orientale,Doronicum,orientale,na,1
wps,Cypripedium,acaule,Cypripedium,acaule,na,1
wps,Kalmia,polifolia,Kalmia,polifolia,na,1
wps,Lilium,superbum,Lilium,superbum,na,1
mikesell,Q.,alba,Quercus,alba,na,1
mikesell,Q.,macrocarpa,Quercus,macrocarpa,na,1
mikesell,Q.,bicolor,Quercus,bicolor,na,1
mikesell,A.,saccharum,Acer,saccharum,na,1
mikesell,A.,negundo,Acer,negundo,na,1
mikesell,F.,nigra,Fraxinus ,nigra,na,1
opg,Chinacea,purpurea,Echinacea,purpurea,na,1
robertson,Fraxinus,americanus,Fraxinus,americana,na,1
robertson,Ludvigia,polycarpa,Ludwigia,polycarpa,na,1
robertson,Aster,novaeangliae,Aster,novae-angliae,na,1
robertson,Penstemon,hirsutus,Penstemon,hirsutus,na,1
