"","V1","V2","V3","V4","V5","V6"
"62139","mohonk","Trillium","erectum","ffd",1980,117
"62140","mohonk","Trillium","undulatum","ffd",1980,125
"62141","mohonk","Viburnum","lantanoides","ffd",1980,123
"62142","mohonk","Caltha","palustris","ffd",1981,109
"62143","mohonk","Hedyotis","caerulea","ffd",1981,109
"62144","mohonk","Kalmia","latifolia","ffd",1981,151
"62145","mohonk","Polygala","paucifolia","ffd",1981,123
"62146","mohonk","Rhododendron","indicum","ffd",1981,181
"62147","mohonk","Sambucus","racemosa","ffd",1981,120
"62148","mohonk","Amelanchier","arborea","ffd",1982,113
"62149","mohonk","Aquilegia","canadensis","ffd",1982,127
"62150","mohonk","Caltha","palustris","ffd",1982,122
"62151","mohonk","Erythronium","americanum","ffd",1982,113
"62152","mohonk","Hedyotis","caerulea","ffd",1982,120
"62153","mohonk","Hepatica","acutiloba","ffd",1982,110
"62154","mohonk","Kalmia","latifolia","ffd",1982,157
"62155","mohonk","Polygala","paucifolia","ffd",1982,127
"62156","mohonk","Rhododendron","nudiflorum","ffd",1982,137
"62157","mohonk","Sambucus","racemosa","ffd",1982,127
"62158","mohonk","Sanguinaria","canadensis","ffd",1982,113
"62159","mohonk","Trillium","erectum","ffd",1982,119
"62160","mohonk","Trillium","undulatum","ffd",1982,127
"62161","mohonk","Viburnum","acerifolium","ffd",1982,158
"62162","mohonk","Viburnum","lantanoides","ffd",1982,122
"62163","mohonk","Amelanchier","arborea","ffd",1983,119
"62164","mohonk","Aquilegia","canadensis","ffd",1983,128
"62165","mohonk","Caltha","palustris","ffd",1983,117
"62166","mohonk","Hedyotis","caerulea","ffd",1983,121
"62167","mohonk","Hepatica","acutiloba","ffd",1983,108
"62168","mohonk","Kalmia","latifolia","ffd",1983,160
"62169","mohonk","Polygala","paucifolia","ffd",1983,133
"62170","mohonk","Rhododendron","nudiflorum","ffd",1983,144
"62171","mohonk","Rhododendron","indicum","ffd",1983,187
"62172","mohonk","Sambucus","racemosa","ffd",1983,128
"62173","mohonk","Sanguinaria","canadensis","ffd",1983,117
"62174","mohonk","Thalictrum","thalictroides","ffd",1983,108
"62175","mohonk","Trillium","erectum","ffd",1983,133
"62176","mohonk","Trillium","undulatum","ffd",1983,125
"62177","mohonk","Viburnum","acerifolium","ffd",1983,157
"62178","mohonk","Viburnum","lantanoides","ffd",1983,125
"62179","mohonk","Amelanchier","arborea","ffd",1984,107
"62180","mohonk","Aquilegia","canadensis","ffd",1984,136
"62181","mohonk","Caltha","palustris","ffd",1984,124
"62182","mohonk","Erythronium","americanum","ffd",1984,124
"62183","mohonk","Hedyotis","caerulea","ffd",1984,135
"62184","mohonk","Hepatica","acutiloba","ffd",1984,124
"62185","mohonk","Kalmia","latifolia","ffd",1984,163
"62186","mohonk","Polygala","paucifolia","ffd",1984,139
"62187","mohonk","Rhododendron","nudiflorum","ffd",1984,144
"62188","mohonk","Rhododendron","indicum","ffd",1984,187
"62189","mohonk","Sambucus","racemosa","ffd",1984,136
"62190","mohonk","Sanguinaria","canadensis","ffd",1984,118
"62191","mohonk","Thalictrum","thalictroides","ffd",1984,124
"62192","mohonk","Trillium","erectum","ffd",1984,124
"62193","mohonk","Trillium","undulatum","ffd",1984,136
"62194","mohonk","Viburnum","acerifolium","ffd",1984,163
"62195","mohonk","Viburnum","lantanoides","ffd",1984,132
"62196","mohonk","Amelanchier","arborea","ffd",1985,122
"62197","mohonk","Aquilegia","canadensis","ffd",1985,119
"62198","mohonk","Caltha","palustris","ffd",1985,114
"62199","mohonk","Cornus","florida","ffd",1985,129
"62200","mohonk","Hedyotis","caerulea","ffd",1985,112
"62201","mohonk","Hepatica","acutiloba","ffd",1985,98
"62202","mohonk","Kalmia","latifolia","ffd",1985,150
"62203","mohonk","Polygala","paucifolia","ffd",1985,114
"62204","mohonk","Rhododendron","nudiflorum","ffd",1985,129
"62205","mohonk","Rhododendron","indicum","ffd",1985,186
"62206","mohonk","Sambucus","racemosa","ffd",1985,119
"62207","mohonk","Thalictrum","thalictroides","ffd",1985,113
"62208","mohonk","Trillium","erectum","ffd",1985,114
"62209","mohonk","Trillium","undulatum","ffd",1985,128
"62210","mohonk","Viburnum","lantanoides","ffd",1985,114
"62211","mohonk","Amelanchier","arborea","ffd",1986,112
"62212","mohonk","Caltha","palustris","ffd",1986,115
"62213","mohonk","Erythronium","americanum","ffd",1986,115
"62214","mohonk","Hepatica","acutiloba","ffd",1986,98
"62215","mohonk","Kalmia","latifolia","ffd",1986,146
"62216","mohonk","Polygala","paucifolia","ffd",1986,119
"62217","mohonk","Sambucus","racemosa","ffd",1986,119
"62218","mohonk","Sanguinaria","canadensis","ffd",1986,101
"62219","mohonk","Viburnum","lantanoides","ffd",1986,146
"62220","mohonk","Amelanchier","arborea","ffd",1987,106
"62221","mohonk","Aquilegia","canadensis","ffd",1987,127
"62222","mohonk","Caltha","palustris","ffd",1987,113
"62223","mohonk","Erythronium","americanum","ffd",1987,117
"62224","mohonk","Hedyotis","caerulea","ffd",1987,117
"62225","mohonk","Kalmia","latifolia","ffd",1987,146
"62226","mohonk","Polygala","paucifolia","ffd",1987,128
"62227","mohonk","Rhododendron","nudiflorum","ffd",1987,131
"62228","mohonk","Rhododendron","indicum","ffd",1987,177
"62229","mohonk","Sambucus","racemosa","ffd",1987,116
"62230","mohonk","Thalictrum","thalictroides","ffd",1987,114
"62231","mohonk","Trillium","erectum","ffd",1987,114
"62232","mohonk","Viburnum","acerifolium","ffd",1987,152
"62233","mohonk","Viburnum","lantanoides","ffd",1987,120
"62234","mohonk","Amelanchier","arborea","ffd",1988,112
"62235","mohonk","Caltha","palustris","ffd",1988,118
"62236","mohonk","Erythronium","americanum","ffd",1988,105
"62237","mohonk","Hedyotis","caerulea","ffd",1988,120
"62238","mohonk","Hepatica","acutiloba","ffd",1988,105
"62239","mohonk","Polygala","paucifolia","ffd",1988,134
"62240","mohonk","Rhododendron","indicum","ffd",1988,189
"62241","mohonk","Sambucus","racemosa","ffd",1988,133
"62242","mohonk","Thalictrum","thalictroides","ffd",1988,105
"62243","mohonk","Trillium","erectum","ffd",1988,118
"62244","mohonk","Trillium","undulatum","ffd",1988,130
"62245","mohonk","Amelanchier","arborea","ffd",1989,110
"62246","mohonk","Aquilegia","canadensis","ffd",1989,125
"62247","mohonk","Caltha","palustris","ffd",1989,118
"62248","mohonk","Cornus","florida","ffd",1989,129
"62249","mohonk","Erythronium","americanum","ffd",1989,117
"62250","mohonk","Hedyotis","caerulea","ffd",1989,122
"62251","mohonk","Hepatica","acutiloba","ffd",1989,118
"62252","mohonk","Kalmia","latifolia","ffd",1989,152
"62253","mohonk","Polygala","paucifolia","ffd",1989,135
"62254","mohonk","Rhododendron","indicum","ffd",1989,188
"62255","mohonk","Sanguinaria","canadensis","ffd",1989,104
