"Site","orig.Genus","orig.Species","clean.Genus","clean.Species"
"fargo","Carex","deweyana","Carex","deweyana"
"fargo","Carex","duriuscula","Carex","duriuscula"
"fargo","Carex","lanuginosa","Carex","pellita"
"fargo","Carex","pennsylvanica","Carex","pensylvanica"
"fargo","Carex","praegracilis","Carex","praegracilis"
"fargo","Carex","rosea","Carex","rosea"
"fargo","Carex","sprengelii","Carex","sprengelii"
"fargo","Carex","vulpinoidea","Carex","vulpinoidea"
"washdc","Carex","annectens","Carex","annectens"
"washdc","Carex","blanda","Carex","blanda"
"washdc","Carex","bromoides","Carex","bromoides"
"washdc","Carex","careyana","Carex","careyana"
"washdc","Carex","grayii","Carex","grayi"
"washdc","Carex","pensylvanica","Carex","pensylvanica"
"washdc","Carex","plantaginea","Carex","plantaginea"
"washdc","Carex","rosea","Carex","rosea"
"washdc","Carex","stricta","Carex","stricta"
"gothic","Carex","geyeri","Carex","geyeri"
"gothic","Carex","nigricans","Carex","nigricans"
"gothic","Carex","sp","Carex",NA
"gothic","Carex","viridula","Carex","viridula"
"fitter","Carlina","vulgaris","Carlina","vulgaris"
"fitter","Carpinus","betulus","Carpinus","betulus"
"marsham","Carpinus","betulus","Carpinus","betulus"
"washdc","Carpinus","caroliniana","Carpinus","caroliniana"
"uwm","Carpinus","caroliniana","Carpinus","caroliniana"
"concord","Carum","carvi","Carum","carvi"
"washdc","Carum","carvi","Carum","carvi"
"konza","Carya","cordiformis","Carya","cordiformis"
"mikesell","Carya","glabra","Carya","glabra"
"mikesell","Carya","ovata","Carya","ovata"
"washdc","Carya","glabra","Carya","glabra"
"washdc","Carya","ovata","Carya","ovata"
"washdc","Carya","tomentosa","Carya","tomentosa"
"uwm","Carya","cordiformis","Carya","cordiformis"
"uwm","Carya","ovata","Carya","ovata"
"konza","Cassia","chamaecrista","Chamaecrista","fasciculata"
"konza","Cassia","marilandica","Senna","marilandica"
"concord","Cassia","fasciculata","Chamaecrista","fasciculata"
"harvard","Castanea","dentata","Castanea","dentata"
"marsham","Castanea","sativa","Castanea","sativa"
"concord","Castilleja","coccinea","Castilleja","coccinea"
"fargo","Castilleja","coccinea","Castilleja","coccinea"
"fargo","Castilleja","sessiliflora","Castilleja","sessiliflora"
"gothic","Castilleja","linariifolia","Castilleja","linariifolia"
"gothic","Castilleja","sulphurea","Castilleja","sulphurea"
"fargo","Catalpa","bignonioides","Catalpa","bignonioides"
"fargo","Catalpa","speciosa","Catalpa","speciosa"
"washdc","Catalpa","bignonioides","Catalpa","bignonioides"
"washdc","Catalpa","speciosa","Catalpa","speciosa"
"concord","Caulophyllum","thalictroides","Caulophyllum","thalictroides"
"fargo","Caulophyllum","thalictroides","Caulophyllum","thalictroides"
"washdc","Caulophyllum","thalictroides","Caulophyllum","thalictroides"
"konza","Ceanothus","herbaceus","Ceanothus","herbaceus"
"concord","Ceanothus","americanus","Ceanothus","americanus"
"washdc","Ceanothus","americanus","Ceanothus","americanus"
"konza","Celastrus","scandens","Celastrus","scandens"
"concord","Celastrus","orbiculatus","Celastrus","orbiculatus"
"concord","Celastrus","scandens","Celastrus","scandens"
"fargo","Celastrus","scandens","Celastrus","scandens"
"washdc","Celastrus","orbiculatus","Celastrus","orbiculatus"
"washdc","Celastrus","scandens","Celastrus","scandens"
"washdc","Celosia","argentea","Celosia","argentea"
"konza","Celtis","occidentalis","Celtis","occidentalis"
"fargo","Celtis","occidentalis","Celtis","occidentalis"
"washdc","Celtis","laevigata","Celtis","laevigata"
"washdc","Celtis","occidentalis","Celtis","occidentalis"
"konza","Cenchrus","longispinus","Cenchrus","longispinus"
"fitter","Centaurea","nigra","Centaurea","nigra"
"fitter","Centaurea","scabiosa","Centaurea","scabiosa"
"concord","Centaurea","jacea","Centaurea","jacea"
"concord","Centaurea","maculosa","Centaurea","stoebe"
"concord","Centaurea","nigra","Centaurea","nigra"
"fargo","Centaurea","cyanus","Centaurea","cyanus"
"fargo","Centaurea","maculosa","Centaurea","stoebe"
"fargo","Centaurea","repens","Rhaponticum","repens"
"washdc","Centaurea","cyanus","Centaurea","cyanus"
"washdc","Centaurea","jacea","Centaurea","jacea"
"washdc","Centaurea","maculosa","Centaurea","stoebe"
"fitter","Cephalanthera","damasonium","Cephalanthera","damasonium"
"concord","Cephalanthus","occidentalis","Cephalanthus","occidentalis"
"fitter","Cerastium","fontanum","Cerastium","fontanum"
"fitter","Cerastium","glomeratum","Cerastium","glomeratum"
"fitter","Cerastium","tomentosum","Cerastium","tomentosum"
"concord","Cerastium","vulgatum","Cerastium","fontanum"
"fargo","Cerastium","arvense","Cerastium","arvense"
"fargo","Cerastium","nutans","Cerastium","nutans"
"fargo","Cerastium","vulgatum","Cerastium","fontanum"
"washdc","Cerastium","arvense","Cerastium","arvense"
"washdc","Cerastium","semidecandrum","Cerastium","semidecandrum"
"washdc","Cerastium","viscosum","Cerastium","glomeratum"
"washdc","Cerastium","vulgatum","Cerastium","fontanum"
"gothic","Ceratochloa","carinata","Bromus","carinatus"
"konza","Cercis","canadensis","Cercis","canadensis"
"washdc","Cercis","canadensis","Cercis","canadensis"
"washdc","Chaenomeles","speciosa","Chaenomeles","speciosa"
"concord","Chaenorhinum","minus","Chaenorhinum","minus"
"fitter","Chaerophyllum","temulentum","Chaerophyllum","temulum"
"konza","Chaerophyllum","tainturieri","Chaerophyllum","tainturieri"
"washdc","Chamaecyparis","thyoides","Chamaecyparis","thyoides"
"concord","Chamaedaphne","calyculata","Chamaedaphne","calyculata"
"washdc","Chamaelirium","luteum","Chamaelirium","luteum"
"fitter","Chamaenerion","angustifolium","Chamerion","angustifolium"
"fargo","Chamaerhodos","erecta","Chamaerhodos","erecta"
"konza","Chamaesyce","nutans","Euphorbia","nutans"
"gothic","Chamerion","danielsii","Chamerion","angustifolium"
"fitter","Chelidonium","majus","Chelidonium","majus"
"concord","Chelidonium","majus","Chelidonium","majus"
"washdc","Chelidonium","majus","Chelidonium","majus"
"concord","Chelone","glabra","Chelone","glabra"
"concord","Chelone","lyoni","Chelone","lyonii"
"fitter","Chenopodium","album","Chenopodium","album"
"concord","Chenopodium","album","Chenopodium","album"
"concord","Chenopodium","glaucum","Chenopodium","glaucum"
"fargo","Chenopodium","album","Chenopodium","album"
"fargo","Chenopodium","gigantospermum","Chenopodium","simplex"
"fargo","Chenopodium","glaucum","Chenopodium","glaucum"
"fargo","Chenopodium","rubrum","Chenopodium","rubrum"
"fargo","Chenopodium","strictum","Chenopodium","strictum"
"washdc","Chenopodium","bonus-henricus","Chenopodium","bonus-henricus"
"gothic","Chenopodium","album","Chenopodium","album"
"concord","Chimaphila","umbellata","Chimaphila","umbellata"
"washdc","Chimaphila","maculata","Chimaphila","maculata"
"washdc","Chionanthus","virginicus","Chionanthus","virginicus"
"washdc","Chloris","verticillata","Chloris","verticillata"
"konza","Chorispora","tenella","Chorispora","tenella"
"concord","Chrysanthemum","leucanthemum","Leucanthemum","vulgare"
"concord","Chrysanthemum","parthenium","Tanacetum","parthenium"
"fargo","Chrysanthemum","coccineum","Tanacetum","coccineum"
"fargo","Chrysanthemum","leucanthemum","Leucanthemum","vulgare"
"fargo","Chrysanthemum","uliginosum","Leucanthemella","serotina"
"fargo","Chrysobalanus","icaco","Chrysobalanus","icaco"
"washdc","Chrysogonum","virginianum","Chrysogonum","virginianum"
"fargo","Chrysopsis","villosa","Heterotheca","villosa"
"fitter","Chrysosplenium","oppositifolium","Chrysosplenium","oppositifolium"
"fitter","Cicerbita","macrophylla","Cicerbita","macrophylla"
"fitter","Cichorium","intybus","Cichorium","intybus"
"concord","Cichorium","intybus","Cichorium","intybus"
"fargo","Cichorium","intybus","Cichorium","intybus"
"washdc","Cichorium","intybus","Cichorium","intybus"
"concord","Cicuta","bulbifera","Cicuta","bulbifera"
"concord","Cicuta","maculata","Cicuta","maculata"
"fargo","Cicuta","maculata","Cicuta","maculata"
"washdc","Cicuta","maculata","Cicuta","maculata"
"fargo","Cinna","latifolia","Cinna","latifolia"
"fitter","Circaea","lutetiana","Circaea","lutetiana"
"concord","Circaea","quadrisulcata","Circaea","canadensis"
"fargo","Circaea","latifolia","Circaea","canadensis"
"fitter","Cirsium","acaule","Cirsium","scariosum"
"fitter","Cirsium","arvense","Cirsium","arvense"
"fitter","Cirsium","dissectum","Cirsium","dissectum"
"fitter","Cirsium","eriophorum","Cirsium","eriophorum"
"fitter","Cirsium","vulgare","Cirsium","vulgare"
"konza","Cirsium","altissimum","Cirsium","altissimum"
"konza","Cirsium","undulatum","Cirsium","undulatum"
"concord","Cirsium","arvense","Cirsium","arvense"
"concord","Cirsium","pumilum","Cirsium","pumilum"
"concord","Cirsium","vulgare","Cirsium","vulgare"
"fargo","Cirsium","altissimum","Cirsium","altissimum"
"fargo","Cirsium","arvense","Cirsium","arvense"
"fargo","Cirsium","undulatum","Cirsium","undulatum"
"fargo","Cirsium","vulgare","Cirsium","vulgare"
"washdc","Cirsium","arvense","Cirsium","arvense"
"washdc","Cirsium","vulgare","Cirsium","vulgare"
"gothic","Cirsium","sp","Cirsium",NA
"concord","Claytonia","caroliniana","Claytonia","caroliniana"
"concord","Claytonia","virginica","Claytonia","virginica"
"washdc","Claytonia","virginica","Claytonia","virginica"
"gothic","Claytonia","lanceolata","Claytonia","lanceolata"
"fitter","Clematis","vitalba","Clematis","vitalba"
"konza","Clematis","pitcheri","Clematis","pitcheri"
"concord","Clematis","virginiana","Clematis","virginiana"
"fargo","Clematis","virginiana","Clematis","virginiana"
"washdc","Clematis","ochroleuca","Clematis","ochroleuca"
"fargo","Cleome","serrulata","Peritoma","serrulata"
"washdc","Cleome","hassleriana","Tarenaya","hassleriana"
"concord","Clethra","alnifolia","Clethra","alnifolia"
"fitter","Clinopodium","vulgare","Clinopodium","vulgare"
"concord","Clintonia","borealis","Clintonia","borealis"
"fitter","Coeloglossum","viride","Dactylorhiza","viridis"
"fargo","Collomia","linearis","Collomia","linearis"
"gothic","Collomia","linearis","Collomia","linearis"
"konza","Comandra","umbellata","Comandra","umbellata"
"concord","Comandra","umbellata","Comandra","umbellata"
"washdc","Comandra","umbellata","Comandra","umbellata"
"fargo","Commandra","pallida","Comandra","umbellata"
"konza","Commelina","erecta","Commelina","erecta"
"concord","Commelina","communis","Commelina","communis"
"washdc","Commelina","communis","Commelina","communis"
"concord","Comptonia","peregrina","Comptonia","peregrina"
"washdc","Comptonia","peregrina","Comptonia","peregrina"
"fitter","Conium","maculatum","Conium","maculatum"
"konza","Conium","maculatum","Conium","maculatum"
"washdc","Conium","maculatum","Conium","maculatum"
"washdc","Conopholis","americana","Conopholis","americana"
"fitter","Conopodium","majus","Conopodium","majus"
"fargo","Conringia","orientalis","Conringia","orientalis"
"washdc","Consolida","ajacis","Consolida","ajacis"
"concord","Convallaria","majalis","Convallaria","majalis"
"fargo","Convallaria","majalis","Convallaria","majalis"
"washdc","Convallaria","majalis","Convallaria","majalis"
"bolmgren","Convallaria","majalis","Convallaria","majalis"
"fitter","Convolvulus","arvensis","Convolvulus","arvensis"
"concord","Convolvulus","arvensis","Convolvulus","arvensis"
"concord","Convolvulus","sepium","Calystegia","sepium"
"fargo","Convolvulus","arvensis","Convolvulus","arvensis"
"washdc","Convolvulus","arvensis","Convolvulus","arvensis"
"fitter","Conyza","canadensis","Conyza","canadensis"
"concord","Coptis","trifolia","Coptis","trifolia"
"concord","Corallorhiza","maculata","Corallorhiza","maculata"
"fargo","Coreopsis","tinctoria","Coreopsis","tinctoria"
"washdc","Coreopsis","auriculata","Coreopsis","auriculata"
"washdc","Coreopsis","lanceolata","Coreopsis","lanceolata"
"washdc","Coreopsis","verticillata","Coreopsis","verticillata"
"fitter","Cornus","sanguinea","Cornus","sanguinea"
"harvard","Cornus","alternifolia","Cornus","alternifolia"
"konza","Cornus","amomum","Cornus","amomum"
"konza","Cornus","drummondii","Cornus","drummondii"
"mikesell","Cornus","florida","Cornus","florida"
"concord","Cornus","alternifolia","Cornus","alternifolia"
"concord","Cornus","amomum","Cornus","amomum"
"concord","Cornus","canadensis","Cornus","canadensis"
"concord","Cornus","florida","Cornus","florida"
"concord","Cornus","racemosa","Cornus","racemosa"
"concord","Cornus","rugosa","Cornus","rugosa"
"concord","Cornus","stolonifera","Cornus","sericea"
"mohonk","Cornus","florida","Cornus","florida"
"fargo","Cornus","alba","Cornus","sericea"
"fargo","Cornus","racemosa","Cornus","racemosa"
"washdc","Cornus","alternifolia","Cornus","alternifolia"
"washdc","Cornus","amomum","Cornus","amomum"
"washdc","Cornus","florida","Cornus","florida"
"washdc","Cornus","racemosa","Cornus","racemosa"
"washdc","Cornus","sericea","Cornus","sericea"
"uwm","Cornus","alternifolia","Cornus","alternifolia"
"uwm","Cornus","racemosa","Cornus","racemosa"
"uwm","Cornus","sericea","Cornus","sericea"
"concord","Coronilla","varia","Securigera","varia"
"washdc","Coronilla","varia","Securigera","varia"
"washdc","Coronopus","didymus","Lepidium","didymum"
"konza","Corydalis","micrantha","Corydalis","micrantha"
"concord","Corydalis","sempervirens","Corydalis","sempervirens"
"fargo","Corydalis","aurea","Corydalis","aurea"
"washdc","Corydalis","flavula","Corydalis","flavula"
"fitter","Corylus","avellana","Corylus","avellana"
"fargo","Corylus","americana","Corylus","americana"
"washdc","Corylus","americana","Corylus","americana"
"fargo","Cotoneaster","acutifolius","Cotoneaster","acutifolius"
"concord","Crataegus","crus-galli","Crataegus","crus-galli"
"marsham","Crataegus","monogyna","Crataegus","monogyna"
"fargo","Crataegus","chrysocarpa","Crataegus","chrysocarpa"
"fargo","Crataegus","mollis","Crataegus","mollis"
"washdc","Crataegus","crus-galli","Crataegus","crus-galli"
"washdc","Crataegus","monogyna","Crataegus","monogyna"
"washdc","Crataegus","phaenopyrum","Crataegus","phaenopyrum"
"washdc","Crataegus","punctata","Crataegus","punctata"
"washdc","Crataegus","viridis","Crataegus","viridis"
"uwm","Crataegus",NA,"Crataegus",NA
"konza","Crategus","mollis","Crataegus","mollis"
"fitter","Crepis","biennis","Crepis","biennis"
"fitter","Crepis","capillaris","Crepis","capillaris"
"fitter","Crepis","vesicaria","Crepis","vesicaria"
"concord","Crepis","tectorum","Crepis","tectorum"
"fargo","Crepis","runcinata","Crepis","runcinata"
"fargo","Crocus","vernus","Crocus","vernus"
"concord","Crotalaria","sagittalis","Crotalaria","sagittalis"
"konza","Croton","capitatus","Croton","capitatus"
"konza","Croton","monanthogynus","Croton","monanthogynus"
"fargo","Cryptantha","bradburiana","Cryptantha","celosioides"
"fargo","Cryptotaenia","canadensis","Cryptotaenia","canadensis"
"washdc","Cryptotaenia","canadensis","Cryptotaenia","canadensis"
"konza","Cucurbita","foetidissima","Cucurbita","foetidissima"
"concord","Cuscuta","gronovii","Cuscuta","gronovii"
"fargo","Cuscuta","campestris","Cuscuta","campestris"
"fargo","Cuscuta","coryli","Cuscuta","coryli"
"fargo","Cuscuta","gronovii","Cuscuta","gronovii"
"fitter","Cymbalaria","muralis","Cymbalaria","muralis"
"washdc","Cymbalaria","muralis","Cymbalaria","muralis"
"concord","Cynanchum","louiseae","Vincetoxicum","nigrum"
"washdc","Cynodon","dactylon","Cynodon","dactylon"
"fargo","Cynoglossum","officinale","Cynoglossum","officinale"
"washdc","Cynoglossum","virginianum","Cynoglossum","virginianum"
"fitter","Cynosurus","cristatus","Cynosurus","cristatus"
"fargo","Cyperus","erythrorhizos","Cyperus","erythrorhizos"
"fargo","Cyperus","schweinitzii","Cyperus","schweinitzii"
"concord","Cypripedium","acaule","Cypripedium","acaule"
"fargo","Cypripedium","candidum","Cypripedium","candidum"
"washdc","Cypripedium","acaule","Cypripedium","acaule"
"washdc","Cypripedium","calceolus","Cypripedium","calceolus"
"washdc","Cypripedium","pubescens","Cypripedium","parviflorum"
"washdc","Cytisus","scoparius","Cytisus","scoparius"
"fargo","Dactylis","glomerata","Dactylis","glomerata"
"washdc","Dactylis","glomerata","Dactylis","glomerata"
"fitter","Dactylorhiza","fuchsii","Dactylorhiza","fuchsii"
"fitter","Dactylorhiza","incarnata","Dactylorhiza","incarnata"
"fitter","Dactylorhiza","praetermissa","Dactylorhiza","majalis"
"konza","Dalea","candidum","Dalea","candida"
"konza","Dalea","enneandra","Dalea","enneandra"
"konza","Dalea","multiflora","Dalea","multiflora"
"konza","Dalea","purpurea","Dalea","purpurea"
"fargo","Dalea","candida","Dalea","candida"
"fargo","Dalea","purpurea","Dalea","purpurea"
"washdc","Danthonia","compressa","Danthonia","compressa"
"washdc","Danthonia","spicata","Danthonia","spicata"
"fitter","Daphne","laureola","Daphne","laureola"
"fitter","Daphne","mezereum","Daphne","mezereum"
"fargo","Daphne","cneorum","Daphne","cneorum"
"konza","Datura","stramonium","Datura","stramonium"
"washdc","Datura","stramonium","Datura","stramonium"
"fitter","Daucus","carota","Daucus","carota"
"concord","Daucus","carota","Daucus","carota"
"fargo","Daucus","carota","Daucus","carota"
"washdc","Daucus","carota","Daucus","carota"
"concord","Decodon","verticillatus","Decodon","verticillatus"
"konza","Delphinium","carolinianum","Delphinium","carolinianum"
"fargo","Delphinium","bicolor","Delphinium","bicolor"
"fargo","Delphinium","carolinianum","Delphinium","carolinianum"
"washdc","Delphinium","tricorne","Delphinium","tricorne"
"gothic","Delphinium","barbeyi","Delphinium","barbeyi"
"gothic","Delphinium","nuttallianum","Delphinium","nuttallianum"
"washdc","Dentaria","laciniata","Cardamine","concatenata"
"fitter","Deschampsia","cespitosa","Deschampsia","cespitosa"
"fitter","Deschampsia","flexuosa","Avenella","flexuosa"
"gothic","Deschampsia","cespitosa","Deschampsia","cespitosa"
"konza","Descurainia","sophia","Descurainia","sophia"
"fargo","Descurainia","pinnata","Descurainia","pinnata"
"fargo","Descurainia","richardsonii","Descurainia","incana"
"fargo","Descurainia","sophia","Descurainia","sophia"
"washdc","Descurainia","sophia","Descurainia","sophia"
"gothic","Descurainia","incana","Descurainia","incana"
"konza","Desmanthus","illinoensis","Desmanthus","illinoensis"
"konza","Desmodium","canescens","Desmodium","canescens"
"konza","Desmodium","glutinosum","Desmodium","glutinosum"
"konza","Desmodium","illinoense","Desmodium","illinoense"
"konza","Desmodium","paniculatum","Desmodium","paniculatum"
"konza","Desmodium","sessilifolium","Desmodium","sessilifolium"
"concord","Desmodium","canadense","Desmodium","canadense"
"concord","Desmodium","cuspidatum","Desmodium","cuspidatum"
"concord","Desmodium","marilandicum","Desmodium","marilandicum"
"concord","Desmodium","nudiflorum","Desmodium","nudiflorum"
"concord","Desmodium","rigidum","Desmodium","obtusum"
"concord","Desmodium","rotundifolium","Desmodium","rotundifolium"
"fargo","Desmodium","acuminatum","Desmodium","glutinosum"
"fargo","Desmodium","canadense","Desmodium","canadense"
"konza","Dianthus","armeria","Dianthus","armeria"
"concord","Dianthus","armeria","Dianthus","armeria"
"washdc","Dianthus","armeria","Dianthus","armeria"
"washdc","Dianthus","barbatus","Dianthus","barbatus"
"washdc","Dianthus","deltoides","Dianthus","deltoides"
"washdc","Dianthus","plumarius","Dianthus","plumarius"
"konza","Dicanthelium","acuminatum","Dicanthelium","acuminatum"
"konza","Dicentra","cucullaria","Dicentra","cucullaria"
"washdc","Dicentra","canadensis","Dicentra","canadensis"
"washdc","Dicentra","cucullaria","Dicentra","cucullaria"
"washdc","Dicentra","eximia","Dicentra","eximia"
"konza","Dichanthelium","oligosanthes","Dichanthelium","oligosanthes"
"fargo","Dictamnus","albus","Dictamnus","albus"
"concord","Diervilla","lonicera","Diervilla","lonicera"
"fitter","Digitalis","purpurea","Digitalis","purpurea"
"concord","Digitalis","purpurea","Digitalis","purpurea"
"fargo","Digitaria","ischaemum","Digitaria","ischaemum"
"fargo","Digitaria","sanguinalis","Digitaria","sanguinalis"
"washdc","Dioscorea","quaternata","Dioscorea","villosa"
"mikesell","Diospyros","virginiana","Diospyros","virginiana"
"washdc","Diospyros","virginiana","Diospyros","virginiana"
"fargo","Dirca","palustris","Dirca","palustris"
"washdc","Dirca","palustris","Dirca","palustris"
"uwm","Dirca","palustris","Dirca","palustris"
"fargo","Disporum","trachycarpa","Prosartes","trachycarpa"
"gothic","Distegia","involucrata","Lonicera","involucrata"
"fargo","Distichlis","spicata","Distichlis","spicata"
"washdc","Dodecatheon","meadia","Primula","meadia"
"gothic","Dodecatheon","pulchellum","Primula","pauciflora"
"concord","Doellingeria","infirma","Doellingeria","infirma"
"konza","Draba","cuneifolia","Draba","cuneifolia"
"konza","Draba","reptans","Draba","reptans"
"concord","Draba","verna","Draba","verna"
"fargo","Draba","nemorosa","Draba","nemorosa"
"washdc","Draba","verna","Draba","verna"
"gothic","Draba","aurea","Draba","aurea"
"gothic","Draba","nemorosa","Draba","nemorosa"
"fargo","Dracocephalum","parviflorum","Dracocephalum","parviflorum"
"concord","Drosera","intermedia","Drosera","intermedia"
"concord","Drosera","rotundifolia","Drosera","rotundifolia"
"fitter","Dryopteris","dilatata","Dryopteris","expansa"
"fitter","Dryopteris","filix-mas","Dryopteris","filix-mas"
"washdc","Dryopteris","celsa","Dryopteris","celsa"
"washdc","Dryopteris","cristata","Dryopteris","cristata"
"washdc","Dryopteris","goldiana","Dryopteris","goldiana"
"washdc","Duchesnea","indica","Duchesnea","indica"
"konza","Dyssodia","papposa","Dyssodia","papposa"
"konza","Echinacea","angustifolia","Echinacea","angustifolia"
"fargo","Echinacea","angustifolia","Echinacea","angustifolia"
"washdc","Echinacea","pallida","Echinacea","pallida"
"washdc","Echinacea","purpurea","Echinacea","purpurea"
"fargo","Echinochloa","crus-galli","Echinochloa","crus-galli"
"concord","Echinocystis","lobata","Echinocystis","lobata"
"fargo","Echinocystis","lobata","Echinocystis","lobata"
"concord","Echium","vulgare","Echium","vulgare"
"washdc","Echium","vulgare","Echium","vulgare"
"concord","Elaeagnus","umbellata","Elaeagnus","umbellata"
"fargo","Elaeagnus","angustifolia","Elaeagnus","angustifolia"
"washdc","Elaeagnus","multiflora","Elaeagnus","multiflora"
"washdc","Elaeagnus","umbellata","Elaeagnus","umbellata"
"konza","Eleocharis","compressa","Eleocharis","compressa"
"konza","Eleocharis","erythropoda","Eleocharis","erythropoda"
"fargo","Eleocharis","compressa","Eleocharis","compressa"
"fargo","Eleocharis","palustris","Eleocharis","palustris"
"washdc","Eleocharis","palustris","Eleocharis","palustris"
"konza","Ellisia","nyctelea","Ellisia","nyctelea"
"fargo","Ellisia","nyctelea","Ellisia","nyctelea"
"washdc","Ellisia","nyctelea","Ellisia","nyctelea"
"fargo","Elsholtzia","stauntoni","Elsholtzia","stauntonii"
"fitter","Elymus","caninus","Elymus","caninus"
"konza","Elymus","canadensis","Elymus","canadensis"
"konza","Elymus","villous","Elymus","villosus"
"fargo","Elymus","canadensis","Elymus","canadensis"
"fargo","Elymus","hystrix","Elymus","hystrix"
"fargo","Elymus","macounii","X Elyhordeum","macounii"
"fargo","Elymus","virginicus","Elymus","virginicus"
"gothic","Elymus","elymoides","Elymus","elymoides"
"gothic","Elymus","glaucus","Elymus","glaucus"
"gothic","Elymus","trachycaulus","Elymus","trachycaulus"
"fitter","Elytrigia","repens","Elymus","repens"
"washdc","Enemion","biternatum","Enemion","biternatum"
"concord","Epigaea","repens","Epigaea","repens"
"washdc","Epigaea","repens","Epigaea","repens"
"fitter","Epilobium","ciliatum","Epilobium","ciliatum"
"fitter","Epilobium","hirsutum","Epilobium","hirsutum"
"fitter","Epilobium","montanum","Epilobium","montanum"
"fitter","Epilobium","parviflorum","Epilobium","parviflorum"
"concord","Epilobium","angustifolium","Chamerion","angustifolium"
"concord","Epilobium","coloratum","Epilobium","coloratum"
"concord","Epilobium","glandulosum","Epilobium","ciliatum"
"concord","Epilobium","leptophyllum","Epilobium","leptophyllum"
"fargo","Epilobium","adenocaulon","Epilobium","ciliatum"
"fargo","Epilobium","angustifolium","Chamerion","angustifolium"
"washdc","Epilobium","angustifolium","Chamerion","angustifolium"
"gothic","Epilobium","brachycarpum","Epilobium","brachycarpum"
"fitter","Epipactis","helleborine","Epipactis","helleborine"
"fitter","Epipactis","purpurata","Epipactis","purpurata"
"concord","Epipactis","helleborine","Epipactis","helleborine"
"fitter","Equisetum","arvense","Equisetum","arvense"
"fitter","Equisetum","palustre","Equisetum","palustre"
"fitter","Equisetum","telmateia","Equisetum","telmateia"
"fargo","Equisetum","arvense","Equisetum","arvense"
"washdc","Equisetum","hyemale","Equisetum","hyemale"
"fargo","Eragrostis","cilianensis","Eragrostis","cilianensis"
"fargo","Eragrostis","hypnoides","Eragrostis","hypnoides"
"fargo","Eragrostis","pectinacea","Eragrostis","pectinacea"
"washdc","Eranthis","hyemalis","Eranthis","hyemalis"
"concord","Erechtites","hieracifolia","Erechtites","hieraciifolius"
"washdc","Erechtites","hieraciifolia","Erechtites","hieraciifolius"
"gothic","Eremogone","congesta","Eremogone","congesta"
"washdc","Erigenia","bulbosa","Erigenia","bulbosa"
"fitter","Erigeron","acer","Erigeron","acer"
"konza","Erigeron","annuus","Erigeron","annuus"
"konza","Erigeron","philadelphicus","Erigeron","philadelphicus"
"konza","Erigeron","strigosus","Erigeron","strigosus"
"concord","Erigeron","annuus","Erigeron","annuus"
"concord","Erigeron","canadensis","Conyza","canadensis"
"concord","Erigeron","philadelphicus","Erigeron","philadelphicus"
"concord","Erigeron","pulchellus","Erigeron","pulchellus"
"fargo","Erigeron","caespitosus","Erigeron","caespitosus"
"fargo","Erigeron","canadensis","Conyza","canadensis"
"fargo","Erigeron","glabellus","Erigeron","glabellus"
"fargo","Erigeron","philadelphicus","Erigeron","philadelphicus"
"fargo","Erigeron","strigosus","Erigeron","strigosus"
"washdc","Erigeron","philadelphicus","Erigeron","philadelphicus"
"washdc","Erigeron","pulchellus","Erigeron","pulchellus"
"gothic","Erigeron","coulteri","Erigeron","coulteri"
"gothic","Erigeron","elatior","Erigeron","elatior"
"gothic","Erigeron","flagellaris","Erigeron","flagellaris"
"gothic","Erigeron","speciosus","Erigeron","speciosus"
"washdc","Eriocaulon","compressum","Eriocaulon","compressum"
"fargo","Eriogonum","flavum","Eriogonum","flavum"
"gothic","Eriogonum","subalpinum","Eriogonum","umbellatum"
"concord","Erodium","cicutarium","Erodium","cicutarium"
"washdc","Erodium","cicutarium","Erodium","cicutarium"
"washdc","Eruca","vesicaria","Eruca","vesicaria"
"fargo","Erucastrum","gallicum","Erucastrum","gallicum"
"fitter","Erysimum","cheiri","Erysimum","cheiri"
"concord","Erysimum","cheiranthoides","Erysimum","cheiranthoides"
"fargo","Erysimum","asperum","Erysimum","asperum"
"fargo","Erysimum","cheiranthoides","Erysimum","cheiranthoides"
"fargo","Erysimum","parviflorum","Erysimum","inconspicuum"
"gothic","Erysimum","capitatum","Erysimum","capitatum"
"gothic","Erythrocoma","triflorum","Geum","triflorum"
"konza","Erythronium","albidum","Erythronium","albidum"
"concord","Erythronium","americanum","Erythronium","americanum"
"mohonk","Erythronium","americanum","Erythronium","americanum"
"fargo","Erythronium","albidum","Erythronium","albidum"
"washdc","Erythronium","albidum","Erythronium","albidum"
"washdc","Erythronium","americanum","Erythronium","americanum"
"gothic","Erythronium","grandiflorum","Erythronium","grandiflorum"
"konza","Escobaria","missouriensis","Escobaria","missouriensis"
"gothic","Eucephalus","engelmannii","Eucephalus","engelmannii"
"fitter","Euonymus","europaeus","Euonymus","europaeus"
"fargo","Euonymus","alatus","Euonymus","alatus"
"fargo","Euonymus","atropurpureus","Euonymus","atropurpureus"
"fargo","Euonymus","nanus","Euonymus","nanus"
"washdc","Euonymus","alatus","Euonymus","alatus"
"washdc","Euonymus","americanus","Euonymus","americanus"
"washdc","Euonymus","europaeus","Euonymus","europaeus"
"washdc","Euonymus","fortunei","Euonymus","fortunei"
"fitter","Eupatorium","cannabinum","Eupatorium","cannabinum"
"konza","Eupatorium","altissimum","Eupatorium","altissimum"
