Block,Plot,humidity treatment,temperature treatment,species,population,sowing,9,55,65,85,95
d,2,S,T+,ar,2,9-mars,30-Mar,19-May,,,21-Jun
d,2,S,T+,ar,2,9-mars,28-Mar,21-Jun,,,25-Jul
d,2,S,T+,ar,2,9-mars,28-Mar,2-Aug,18-Aug,5-Sep,
d,2,S,T+,ar,2,9-mars,25-Apr,,,,7-Jul
d,2,S,T+,ar,3,9-mars,28-Mar,,,,27-Jun
d,2,S,T+,ar,3,9-mars,28-Mar,,,,27-Jun
d,2,S,T+,ar,3,9-mars,28-Mar,,,,27-Jun
d,2,S,T+,ar,3,9-mars,28-Mar,9-May,,,25-Jul
d,2,S,T+,sv,1,9-mars,30-Mar,21-May,2-Jun,,5-Sep
d,2,S,T+,sv,1,9-mars,30-Mar,<7/6,6-Jun,,30-Aug
d,2,S,T+,sv,1,9-mars,30-Mar,27-May,2-Jun,,8-Aug
d,2,S,T+,sv,1,9-mars,30-Mar,,2-Jun,,16-Aug
d,2,S,T+,sv,2,9-mars,8-May,,,,24-Aug
d,2,S,T+,sv,2,9-mars,8-May,,,,2-Aug
d,2,S,T+,sv,2,9-mars,2-May,,,,26-Aug
d,2,S,T+,sv,2,9-mars,2-May,,,,
d,3,H,T++,ar,1,9-mars,30-Mar,19-May,,,8-Aug
d,3,H,T++,ar,1,9-mars,18-Apr,18-May,,,28-Jul
d,3,H,T++,ar,1,9-mars,18-Apr,9-May,2-Jun,11-Jul,
d,3,H,T++,ar,1,9-mars,18-Apr,2-May,,,28-Nov
d,3,H,T++,ar,2,9-mars,4-Apr,,,,
d,3,H,T++,ar,2,9-mars,25-Apr,27-Jun,,,24-Aug
d,3,H,T++,ar,2,9-mars,18-Apr,,,,
d,3,H,T++,ar,3,9-mars,28-Mar,9-May,3-Jun,,
d,3,H,T++,ar,3,9-mars,28-Mar,13-Jun,21-Jun,18-Jul,28-Nov
d,3,H,T++,ar,3,9-mars,18-Apr,11-Jul,21-Jul,,
d,3,H,T++,sv,1,9-mars,28-Apr,27-Jun,,,
d,3,H,T++,sv,1,9-mars,25-Apr,16-Jun,21-Jun,,26-Aug
d,3,H,T++,sv,1,9-mars,28-Mar,18-May,21-May,,8-Aug
d,4,S,T,aa,1,9-mars,15-May,5-Sep,26-Sep,,17-Nov
d,4,S,T,aa,1,9-mars,15-May,5-Sep,29-Sep,,
d,4,S,T,aa,1,9-mars,5-May,12-Sep,3-Oct,,
d,4,S,T,aa,1,9-mars,5-May,12-Sep,3-Oct,,
d,4,S,T,ar,1,9-mars,28-Mar,13-May,,,
d,4,S,T,ar,1,9-mars,28-Mar,,,,
d,4,S,T,ar,1,9-mars,28-Mar,19-May,,,
d,4,S,T,ar,1,9-mars,28-Mar,9-May,,,
d,4,S,T,ar,2,9-mars,30-Mar,,,,2-Aug
d,4,S,T,ar,2,9-mars,30-Mar,6-May,,,2-Aug
d,4,S,T,ar,2,9-mars,28-Mar,10-May,,,
d,4,S,T,ar,2,9-mars,28-Mar,,,,
d,4,S,T,ar,3,9-mars,30-Mar,,,,
d,4,S,T,ar,3,9-mars,4-Apr,,,,28-Jul
d,4,S,T,ar,3,9-mars,28-Mar,,,,25-Jul
d,4,S,T,ar,3,9-mars,28-Mar,,,,
d,4,S,T,sv,1,9-mars,30-Mar,21-Jun,30-Jun,,
d,4,S,T,sv,1,9-mars,30-Mar,25-Jul,1-Aug,18-Aug,
d,4,S,T,sv,1,9-mars,30-Mar,,6-Jun,,
d,4,S,T,sv,1,9-mars,4-Apr,18-Jul,,,10-Oct
d,4,S,T,sv,2,9-mars,11-Apr,16-Jun,21-Jun,8-Aug,
d,4,S,T,sv,2,9-mars,28-Apr,16-Jun,21-Jun,,10-Oct
d,4,S,T,sv,2,9-mars,28-Apr,5-Jul,,,10-Oct
d,5,H,T+,aa,,9-mars,,<15/9,23-Sep,,
d,5,H,T+,aa,,9-mars,14-May,5-Sep,26-Sep,<3/11,17-Nov
d,5,H,T+,ar,1,9-mars,28-Mar,9-May,,,
d,5,H,T+,ar,1,9-mars,28-Mar,11-May,,,
d,5,H,T+,ar,1,9-mars,28-Mar,4-May,,,
d,5,H,T+,ar,1,9-mars,28-Mar,,,,
d,5,H,T+,ar,2,9-mars,28-Mar,11-May,7-Jul,,18-Jul
d,5,H,T+,ar,2,9-mars,28-Mar,,,,30-Jun
d,5,H,T+,ar,2,9-mars,30-Mar,26-May,,,30-Jun
d,5,H,T+,ar,2,9-mars,30-Mar,25-May,,,30-Jun
d,5,H,T+,ar,3,9-mars,28-Mar,6-May,,,11-Jul
d,5,H,T+,ar,3,9-mars,28-Mar,10-May,,,
d,5,H,T+,ar,3,9-mars,28-Mar,11-May,,,30-Jun
d,5,H,T+,ar,3,9-mars,28-Mar,,,,
d,5,H,T+,sv,1,9-mars,28-Mar,26-May,2-Jun,,
d,5,H,T+,sv,1,9-mars,28-Mar,26-May,2-Jun,27-Jun,
d,5,H,T+,sv,1,9-mars,28-Mar,,2-Jun,<30/6,24-Aug
d,5,H,T+,sv,1,9-mars,1-Apr,20-May,2-Jun,5-Jul,
d,5,H,T+,sv,2,9-mars,8-May,,,,
d,5,H,T+,sv,2,9-mars,11-Apr,,,,
d,5,H,T+,sv,2,9-mars,11-Apr,17-May,23-May,30-Jun,
d,5,H,T+,sv,2,9-mars,4-Apr,27-May,6-Jun,,
d,6,H,T,aa,,9-mars,24-Apr,5-Sep,19-Sep,20-Oct,28-Nov
d,6,H,T,ar,1,9-mars,28-Mar,19-May,,,
d,6,H,T,ar,1,9-mars,28-Mar,12-May,,28-Jul,
d,6,H,T,ar,1,9-mars,28-Mar,18-Apr,,11-Jul,
d,6,H,T,ar,1,9-mars,28-Mar,22-May,,11-Jul,
d,6,H,T,ar,2,9-mars,28-Mar,21-Jun,30-Jun,,18-Jul
d,6,H,T,ar,2,9-mars,1-Apr,<21/6,,,18-Jul
d,6,H,T,ar,2,9-mars,30-Mar,,,,2-Aug
d,6,H,T,ar,2,9-mars,30-Mar,20-May,,,21-Jul
d,6,H,T,ar,3,9-mars,28-Mar,30-Aug,,,
d,6,H,T,ar,3,9-mars,28-Mar,,,,
d,6,H,T,ar,3,9-mars,28-Mar,,,,
d,6,H,T,ar,3,9-mars,25-Apr,,,,
d,6,H,T,sv,1,9-mars,1-Apr,2-Jun,6-Jun,,10-Sep
d,6,H,T,sv,1,9-mars,1-Apr,,6-Jun,,8-Sep
d,6,H,T,sv,1,9-mars,28-Mar,,27-Jun,18-Jul,18-Aug
d,6,H,T,sv,1,9-mars,30-Mar,13-Jun,21-Jun,11-Jul,8-Sep
d,6,H,T,sv,2,9-mars,13-Apr,,,,
d,6,H,T,sv,2,9-mars,4-Apr,,4-Jul,18-Jul,1-Sep
d,6,H,T,sv,2,9-mars,4-Apr,2-Jun,13-Jun,5-Jul,
d,6,H,T,sv,2,9-mars,30-Mar,,,,1-Sep
e,1,H,T+,aa,2,14-mars,28-Apr,1-Sep,23-Sep,3-Nov,28-Nov
e,1,H,T+,aa,,14-mars,1-May,,,,5-Sep
e,1,H,T+,aa,,14-mars,1-May,<23/9,,26-Oct,
e,1,H,T+,aa,,14-mars,22-Apr,1-Sep,23-Sep,26-Oct,28-Nov
e,1,H,T+,aa,,14-mars,,1-Sep,23-Sep,3-Nov,
e,1,H,T+,aa,,14-mars,1-May,23-Sep,3-Oct,26-Oct,
e,1,H,T+,aa,,14-mars,1-May,1-Sep,<3/10,28-Nov,
e,1,H,T+,aa,,14-mars,15-May,26-Sep,3-Oct,,
e,1,H,T+,ar,1,14-mars,28-Mar,,,,
e,1,H,T+,ar,1,14-mars,28-Mar,,,,
e,1,H,T+,ar,1,14-mars,28-Mar,,,,
e,1,H,T+,ar,1,14-mars,28-Mar,,,,18-Jul
e,1,H,T+,ar,2,14-mars,28-Mar,26-May,,,8-Aug
e,1,H,T+,ar,2,14-mars,28-Mar,20-May,,,21-Jun
e,1,H,T+,ar,2,14-mars,28-Mar,,,,21-Jul
e,1,H,T+,ar,2,14-mars,28-Mar,21-Jun,,,21-Jul
e,1,H,T+,ar,3,14-mars,28-Mar,,,,21-Jun
e,1,H,T+,ar,3,14-mars,28-Mar,,,,5-Jul
e,1,H,T+,ar,3,14-mars,28-Mar,,,,30-Jun
e,1,H,T+,ar,3,14-mars,28-Mar,,,,18-Jul
e,1,H,T+,sv,1,14-mars,28-Mar,,2-Jun,,24-Aug
e,1,H,T+,sv,1,14-mars,28-Mar,,23-May,,14-Sep
e,1,H,T+,sv,1,14-mars,30-Mar,,2-Jun,,8-Aug
e,1,H,T+,sv,1,14-mars,28-Mar,,2-Jun,,6-Aug
e,1,H,T+,sv,2,14-mars,30-Mar,19-May,22-May,,8-Aug
e,1,H,T+,sv,2,14-mars,30-Mar,,,,17-Aug
e,2,H,T,aa,,14-mars,,5-Sep,26-Sep,26-Oct,28-Nov
e,2,H,T,aa,,14-mars,,5-Sep,26-Sep,26-Oct,17-Nov
e,2,H,T,aa,,14-mars,4-May,5-Sep,23-Sep,26-Oct,26-Nov
e,2,H,T,aa,,14-mars,21-May,5-Sep,19-Sep,3-Nov,28-Nov
e,2,H,T,aa,,14-mars,4-May,5-Sep,,3-Nov,28-Nov
e,2,H,T,ar,1,14-mars,28-Mar,5-May,,,
e,2,H,T,ar,1,14-mars,28-Mar,12-May,,,7-Jul
e,2,H,T,ar,1,14-mars,28-Mar,,,,
e,2,H,T,ar,1,14-mars,28-Mar,,,,
e,2,H,T,ar,2,14-mars,30-Mar,25-Apr,,,7-Jul
e,2,H,T,ar,2,14-mars,28-Mar,,,,5-Apr
e,2,H,T,ar,3,14-mars,28-Mar,,,,21-Jul
e,2,H,T,ar,3,14-mars,30-Mar,,,,5-Jul
e,2,H,T,ar,3,14-mars,28-Mar,,,,
e,2,H,T,ar,3,14-mars,28-Mar,,,,18-Jul
e,2,H,T,sv,1,14-mars,2-May,,21-Jun,,2-Aug
e,2,H,T,sv,1,14-mars,18-Apr,,<21/6,,14-Sep
e,2,H,T,sv,1,14-mars,1-May,,2-Jun,,26-Aug
e,2,H,T,sv,1,14-mars,28-Apr,21-Jun,27-Jun,,14-Sep
e,2,H,T,sv,2,14-mars,11-Apr,,2-Jun,,1-Sep
e,2,H,T,sv,2,14-mars,11-Apr,,21-Jun,,14-Sep
e,3,H,T++,ar,1,14-mars,18-Apr,10-May,,,21-Jul
e,3,H,T++,ar,1,14-mars,18-Apr,,,,
e,3,H,T++,ar,1,14-mars,1-May,,,,
e,3,H,T++,ar,2,14-mars,28-Apr,,,,1-Sep
e,3,H,T++,ar,2,14-mars,,,,,18-Aug
e,3,H,T++,ar,2,14-mars,18-Apr,,27-Jun,18-Jul,28-Jul
e,3,H,T++,ar,3,14-mars,28-Mar,21-Jun,,,
e,3,H,T++,ar,3,14-mars,,,27-Jun,21-Jul,12-Aug
e,3,H,T++,ar,3,14-mars,18-Apr,,,,
e,3,H,T++,sv,1,14-mars,2-Apr,19-May,26-May,,8-Aug
e,3,H,T++,sv,1,14-mars,30-Mar,,,,22-Aug
e,3,H,T++,sv,2,14-mars,11-Apr,20-May,27-May,,15-Aug
e,3,H,T++,sv,2,14-mars,11-Apr,,,,
e,4,H,T++,aa,,14-mars,11-May,26-Aug,19-Sep,26-Oct,28-Nov
e,4,S,T++,ar,1,14-mars,18-Apr,20-May,,28-Jul,14-Aug
e,4,S,T++,ar,1,14-mars,18-Apr,19-May,,,11-Jul
e,4,S,T++,ar,1,14-mars,28-Mar,,,,
e,4,S,T++,ar,2,14-mars,25-Apr,21-Jun,,,18-Aug
e,4,S,T++,ar,2,14-mars,18-Apr,,,,18-Jul
e,4,S,T++,ar,2,14-mars,18-Apr,,,,11-Jul
e,4,S,T++,ar,2,14-mars,25-Apr,,,,
e,4,S,T++,sv,1,14-mars,2-May,2-Jun,<21/6,5-Jul,30-Aug
e,4,S,T++,sv,1,14-mars,28-Mar,9-May,15-May,,8-Aug
e,4,S,T++,sv,1,14-mars,25-Apr,16-Jun,21-Jun,11-Jul,18-Aug
e,4,S,T++,sv,1,14-mars,31-Mar,,21-Jun,,
e,4,S,T++,sv,2,14-mars,28-Mar,,21-Jun,30-Jun,8-Aug
e,4,S,T++,sv,2,14-mars,31-Mar,,21-Jun,30-Jun,10-Aug
e,4,S,T++,sv,2,14-mars,4-Apr,19-May,22-May,,30-Aug
e,5,S,T+,aa,,14-mars,24-May,5-Sep,23-Sep,26-Oct,28-Nov
e,5,S,T+,aa,,14-mars,5-May,26-Aug,19-Sep,26-Oct,28-Nov
e,5,S,T+,aa,,14-mars,5-May,26-Aug,19-Sep,26-Oct,28-Nov
e,5,S,T+,ar,1,14-mars,28-Mar,12-May,,,26-Aug
e,5,S,T+,ar,1,14-mars,15-Apr,,,,
e,5,S,T+,ar,1,14-mars,28-Apr,,,,
e,5,S,T+,ar,1,14-mars,28-Mar,,,,
e,5,S,T+,ar,2,14-mars,30-Mar,,,,2-Aug
e,5,S,T+,ar,2,14-mars,25-Apr,<21/6,,7-Jul,17-Aug
e,5,S,T+,ar,2,14-mars,30-Mar,,,,11-Jul
e,5,S,T+,ar,2,14-mars,28-Mar,21-Jun,,,5-Jul
e,5,S,T+,ar,3,14-mars,28-Mar,,,,22-Aug
e,5,S,T+,ar,3,14-mars,28-Mar,,,,28-Jul
e,5,S,T+,ar,3,14-mars,28-Mar,,,,7-Jul
e,5,S,T+,ar,3,14-mars,28-Mar,,,,
e,5,S,T+,sv,1,14-mars,30-Mar,28-May,2-Jun,30-Jun,24-Aug
e,5,S,T+,sv,1,14-mars,3-May,20-May,21-Jun,5-Jul,
e,5,S,T+,sv,1,14-mars,28-Mar,,,,
e,5,S,T+,sv,1,14-mars,30-Mar,,2-Jun,30-Jun,
e,5,S,T+,sv,2,14-mars,30-Mar,23-May,13-Jun,,
e,5,S,T+,sv,2,14-mars,3-May,11-Jul,,2-Aug,
e,5,S,T+,sv,2,14-mars,7-Apr,16-May,25-May,,
e,5,S,T+,sv,2,14-mars,8-May,,,,
e,6,S,T,aa,,14-mars,15-May,12-Sep,29-Sep,,28-Nov
e,6,S,T,ar,1,14-mars,30-Mar,,6-Jun,11-Jul,17-Aug
e,6,S,T,ar,1,14-mars,28-Mar,11-May,6-Jun,,7-Jul
e,6,S,T,ar,1,14-mars,28-Mar,11-May,,,
e,6,S,T,ar,1,14-mars,30-Mar,21-May,,,
e,6,S,T,ar,2,14-mars,28-Mar,3-Aug,,,1-Sep
e,6,S,T,ar,2,14-mars,2-May,7-Jul,,,14-Aug
e,6,S,T,ar,2,14-mars,30-Mar,,,,
e,6,S,T,ar,2,14-mars,25-Apr,21-May,,,
e,6,S,T,ar,3,14-mars,30-Mar,,,,11-Jul
e,6,S,T,ar,3,14-mars,30-Mar,,,,21-Jun
e,6,S,T,ar,3,14-mars,21-Apr,7-Jul,,,21-Jul
e,6,S,T,ar,3,14-mars,28-Mar,,,,1-Sep
e,6,S,T,sv,1,14-mars,1-Apr,<16/6,21-Jun,5-Jul,12-Sep
e,6,S,T,sv,1,14-mars,2-May,,,2-Aug,1-Sep
e,6,S,T,sv,1,14-mars,9-May,,,,
e,6,S,T,sv,1,14-mars,7-Apr,,,,
e,6,S,T,sv,2,14-mars,11-Apr,7-May,<13/6,,8-Aug
e,6,S,T,sv,2,14-mars,6-May,,,,26-Aug
e,6,S,T,sv,2,14-mars,7-May,,,21-Jun,
